ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_agri_ESA20_agri,RP10_agri_ESA20_agri_C6,RP10_agri_ESA20_agri_C5,RP10_agri_ESA20_agri_C4,RP10_agri_ESA20_agri_C3,RP10_agri_ESA20_agri_C2,RP10_agri_ESA20_agri_C1,RP10_agri_ESA20_agri_C0,RP10_agri_ESA20_agri_C6_EAE,RP10_agri_ESA20_agri_C5_EAE,RP10_agri_ESA20_agri_C4_EAE,RP10_agri_ESA20_agri_C3_EAE,RP10_agri_ESA20_agri_C2_EAE,RP10_agri_ESA20_agri_C1_EAE,RP10_agri_ESA20_agri_C0_EAE,RP20_agri_ESA20_agri_C6,RP20_agri_ESA20_agri_C5,RP20_agri_ESA20_agri_C4,RP20_agri_ESA20_agri_C3,RP20_agri_ESA20_agri_C2,RP20_agri_ESA20_agri_C1,RP20_agri_ESA20_agri_C0,RP20_agri_ESA20_agri_C6_EAE,RP20_agri_ESA20_agri_C5_EAE,RP20_agri_ESA20_agri_C4_EAE,RP20_agri_ESA20_agri_C3_EAE,RP20_agri_ESA20_agri_C2_EAE,RP20_agri_ESA20_agri_C1_EAE,RP20_agri_ESA20_agri_C0_EAE,RP50_agri_ESA20_agri_C6,RP50_agri_ESA20_agri_C5,RP50_agri_ESA20_agri_C4,RP50_agri_ESA20_agri_C3,RP50_agri_ESA20_agri_C2,RP50_agri_ESA20_agri_C1,RP50_agri_ESA20_agri_C0,RP50_agri_ESA20_agri_C6_EAE,RP50_agri_ESA20_agri_C5_EAE,RP50_agri_ESA20_agri_C4_EAE,RP50_agri_ESA20_agri_C3_EAE,RP50_agri_ESA20_agri_C2_EAE,RP50_agri_ESA20_agri_C1_EAE,RP50_agri_ESA20_agri_C0_EAE,RP100_agri_ESA20_agri_C6,RP100_agri_ESA20_agri_C5,RP100_agri_ESA20_agri_C4,RP100_agri_ESA20_agri_C3,RP100_agri_ESA20_agri_C2,RP100_agri_ESA20_agri_C1,RP100_agri_ESA20_agri_C0,RP100_agri_ESA20_agri_C6_EAE,RP100_agri_ESA20_agri_C5_EAE,RP100_agri_ESA20_agri_C4_EAE,RP100_agri_ESA20_agri_C3_EAE,RP100_agri_ESA20_agri_C2_EAE,RP100_agri_ESA20_agri_C1_EAE,RP100_agri_ESA20_agri_C0_EAE,RP200_agri_ESA20_agri_C6,RP200_agri_ESA20_agri_C5,RP200_agri_ESA20_agri_C4,RP200_agri_ESA20_agri_C3,RP200_agri_ESA20_agri_C2,RP200_agri_ESA20_agri_C1,RP200_agri_ESA20_agri_C0,RP200_agri_ESA20_agri_C6_EAE,RP200_agri_ESA20_agri_C5_EAE,RP200_agri_ESA20_agri_C4_EAE,RP200_agri_ESA20_agri_C3_EAE,RP200_agri_ESA20_agri_C2_EAE,RP200_agri_ESA20_agri_C1_EAE,RP200_agri_ESA20_agri_C0_EAE,RP500_agri_ESA20_agri_C6,RP500_agri_ESA20_agri_C5,RP500_agri_ESA20_agri_C4,RP500_agri_ESA20_agri_C3,RP500_agri_ESA20_agri_C2,RP500_agri_ESA20_agri_C1,RP500_agri_ESA20_agri_C0,RP500_agri_ESA20_agri_C6_EAE,RP500_agri_ESA20_agri_C5_EAE,RP500_agri_ESA20_agri_C4_EAE,RP500_agri_ESA20_agri_C3_EAE,RP500_agri_ESA20_agri_C2_EAE,RP500_agri_ESA20_agri_C1_EAE,RP500_agri_ESA20_agri_C0_EAE,agri_ESA20_agri_C6_EAE,agri_ESA20_agri_C5_EAE,agri_ESA20_agri_C4_EAE,agri_ESA20_agri_C3_EAE,agri_ESA20_agri_C2_EAE,agri_ESA20_agri_C1_EAE,agri_ESA20_agri_C0_EAE,agri_ESA20_agri_C6_EAE%,agri_ESA20_agri_C5_EAE%,agri_ESA20_agri_C4_EAE%,agri_ESA20_agri_C3_EAE%,agri_ESA20_agri_C2_EAE%,agri_ESA20_agri_C1_EAE%,agri_ESA20_agri_C0_EAE%
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,4026.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3847.984,3847.984,0.0,0.0,0.0,0.0,0.0,19.24,19.24,0.0,0.0,0.0,0.0,0.0,3847.984,3847.984,0.0,0.0,0.0,0.0,0.0,11.544,11.544,0.0,0.0,0.0,0.0,0.0,30.784,30.784,0.0,0.0,0.0,0.0,0.0,0.764,0.764
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,19386.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15185.851,15185.851,0.0,0.0,0.0,0.0,0.0,45.558,45.558,0.0,0.0,0.0,0.0,0.0,45.558,45.558,0.0,0.0,0.0,0.0,0.0,0.235,0.235
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,2779.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2673.322,2673.322,0.0,0.0,0.0,0.0,0.0,13.367,13.367,0.0,0.0,0.0,0.0,0.0,2673.322,2673.322,0.0,0.0,0.0,0.0,0.0,8.02,8.02,0.0,0.0,0.0,0.0,0.0,21.387,21.387,0.0,0.0,0.0,0.0,0.0,0.77,0.77
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,9215.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.609,368.609,0.0,0.0,0.0,0.0,0.0,1.843,1.843,0.0,0.0,0.0,0.0,0.0,8941.534,8941.534,0.0,0.0,0.0,0.0,0.0,26.825,26.825,0.0,0.0,0.0,0.0,0.0,28.668,28.668,0.0,0.0,0.0,0.0,0.0,0.311,0.311
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,1139.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.606,1072.606,0.0,0.0,0.0,0.0,0.0,5.363,5.363,0.0,0.0,0.0,0.0,0.0,1072.606,1072.606,0.0,0.0,0.0,0.0,0.0,3.218,3.218,0.0,0.0,0.0,0.0,0.0,8.581,8.581,0.0,0.0,0.0,0.0,0.0,0.753,0.753
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,7701.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7552.728,7552.728,0.0,0.0,0.0,0.0,0.0,22.658,22.658,0.0,0.0,0.0,0.0,0.0,22.658,22.658,0.0,0.0,0.0,0.0,0.0,0.294,0.294
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,278.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.379,203.379,0.0,0.0,0.0,0.0,0.0,2.034,2.034,0.0,0.0,0.0,0.0,0.0,203.379,203.379,0.0,0.0,0.0,0.0,0.0,1.017,1.017,0.0,0.0,0.0,0.0,203.379,203.379,203.379,0.0,0.0,0.0,0.0,0.61,0.61,0.61,0.0,0.0,0.0,0.0,0.61,3.661,3.661,0.0,0.0,0.0,0.0,0.219,1.312,1.312
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,2091.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.663,1989.663,0.0,0.0,0.0,0.0,0.0,5.969,5.969,0.0,0.0,0.0,0.0,0.0,5.969,5.969,0.0,0.0,0.0,0.0,0.0,0.285,0.285
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,2675.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2543.551,2543.551,0.0,0.0,0.0,0.0,0.0,25.436,25.436,0.0,0.0,0.0,0.0,0.0,2543.551,2543.551,0.0,0.0,0.0,0.0,0.0,12.718,12.718,0.0,0.0,0.0,0.0,0.0,2543.551,2543.551,0.0,0.0,0.0,0.0,0.0,7.631,7.631,0.0,0.0,0.0,0.0,0.0,45.784,45.784,0.0,0.0,0.0,0.0,0.0,1.711,1.711
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,2432.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2316.314,2316.314,0.0,0.0,0.0,0.0,0.0,6.949,6.949,0.0,0.0,0.0,0.0,0.0,6.949,6.949,0.0,0.0,0.0,0.0,0.0,0.286,0.286
