ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,builtup_WSF19_C2,builtup_WSF19_C1,builtup_WSF19_C0,builtup_WSF19_C2%,builtup_WSF19_C1%,builtup_WSF19_C0%
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,10.468,0,0,0,0,0,0
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,25.805,0,0,0,0,0,0
190505,1905,19,KHM,Anlong Chrey,Thala Barivat,Stung Treng,Cambodia,49.729,0,0,0,0,0,0
190501,1905,19,KHM,Anlong Phe,Thala Barivat,Stung Treng,Cambodia,8.727,0,0,0,0,0,0
150603,1506,15,KHM,Anlong Reab,Veal Veaeng,Pursat,Cambodia,32.374,0.628,17.636,17.636,0.0193982825724347,0.544758139247544,0.544758139247544
80102,801,8,KHM,Anlong Romiet,Kandal Stueng,Kandal,Cambodia,78.583,0,0,0,0,0,0
20205,202,2,KHM,Anlong Run,Thma Koul,Battambang,Cambodia,26.23,0,0,0,0,0,0
170401,1704,17,KHM,Anlong Samnar,Chi Kraeng,Siemreap,Cambodia,47.515,0,0,0,0,0,0
150301,1503,15,KHM,Anlong Tnaot,Krakor,Pursat,Cambodia,103.636,0.012,0.139,0.139,0.000115789879964491,0.00134123277625536,0.00134123277625536
220101,2201,22,KHM,Anlong Veaeng,Anlong Veaeng,Oddar Meanchey,Cambodia,174.278,0,0,0,0,0,0
20801,208,2,KHM,Anlong Vil,Sangkae,Battambang,Cambodia,150.946,0,0,0,0,0,0
150201,1502,15,KHM,Anlong Vil,Kandieng,Pursat,Cambodia,37.042,0,0,0,0,0,0
150302,1503,15,KHM,Ansa Chambak,Krakor,Pursat,Cambodia,34.393,0,0.244,0.244,0,0.00709446689733376,0.00709446689733376
140301,1403,14,KHM,Ansaong,Kampong Trabaek,Prey Veng,Cambodia,33.697,0,0,0,0,0,0
31501,315,3,KHM,Areaks Tnot,Stueng Trang,Kampong Cham,Cambodia,28.393,0,0,0,0,0,0
40303,403,4,KHM,B'er,Kampong Chhnang,Kampong Chhnang,Cambodia,118.065,0,0,0,0,0,0
140701,1407,14,KHM,Ba Baong,Peam Ro,Prey Veng,Cambodia,50.458,0,0,0,0,0,0
210102,2101,21,KHM,Ba Srae,Angkor Borei,Takeo,Cambodia,59.69,0,0,0,0,0,0
160505,1605,16,KHM,Ba Tang,Lumphat,Ratanak Kiri,Cambodia,9.271,0,0,0,0,0,0
80801,808,8,KHM,Baek Chan,Angk Snuol,Kandal,Cambodia,293.985,0,0,0,0,0,0
220501,2205,22,KHM,Bak Anloung,Trapeang Prasat,Oddar Meanchey,Cambodia,18.631,0,0,0,0,0,0
150401,1504,15,KHM,Bak Chenhchien,Phnum Kravanh,Pursat,Cambodia,20.8,0,0,0,0,0,0
80301,803,8,KHM,Bak Dav,Khsach Kandal,Kandal,Cambodia,40.479,0,0,0,0,0,0
121005,1210,12,KHM,Bak Kaeng,Chraoy Chongvar,Phnom Penh,Cambodia,129.844,0,0,0,0,0,0
60101,601,6,KHM,Bak Sna,Baray,Kampong Thom,Cambodia,34.135,0,0,0,0,0,0
170902,1709,17,KHM,Bakong,Prasat Bakong,Siemreap,Cambodia,71.182,0,0,0,0,0,0
60102,601,6,KHM,Ballangk,Baray,Kampong Thom,Cambodia,164.243,0,0,0,0,0,0
170903,1709,17,KHM,Ballangk,Prasat Bakong,Siemreap,Cambodia,47.415,0,0,0,0,0,0
210602,2106,21,KHM,Ban Kam,Prey Kabbas,Takeo,Cambodia,50.533,0,0,0,0,0,0
70301,703,7,KHM,Baniev,Chhuk,Kampot,Cambodia,17.918,0,0,0,0,0,0
140702,1407,14,KHM,Banlich Prasat,Peam Ro,Prey Veng,Cambodia,20.807,0,0,0,0,0,0
220401,2204,22,KHM,Bansay Reak,Samraong,Oddar Meanchey,Cambodia,15.379,0,0,0,0,0,0
20209,202,2,KHM,Bansay Traeng,Thma Koul,Battambang,Cambodia,87.313,0,0,0,0,0,0
140902,1409,14,KHM,Banteay Chakrei,Preah Sdach,Prey Veng,Cambodia,64.507,0,0,0,0,0,0
10701,107,1,KHM,Banteay Chhmar,Thma Puok,Banteay Meanchey,Cambodia,196.241,0,4.095,4.095,0,0.0208671990053047,0.0208671990053047
80201,802,8,KHM,Banteay Daek,Kien Svay,Kandal,Cambodia,164.598,0,0,0,0,0,0
150508,1505,15,KHM,Banteay Dei,Pursat,Pursat,Cambodia,55.875,0,0,0,0,0,0
200201,2002,20,KHM,Banteay Krang,Kampong Rou,Svay Rieng,Cambodia,13.254,0,0,0,0,0,0
70201,702,7,KHM,Banteay Meas Khang Kaeut,Banteay Meas,Kampot,Cambodia,42.577,0,0,0,0,0,0
70202,702,7,KHM,Banteay Meas Khang Lech,Banteay Meas,Kampot,Cambodia,34.494,0,0,0,0,0,0
10201,102,1,KHM,Banteay Neang,Mongkol Borei,Banteay Meanchey,Cambodia,211.401,0,0,0,0,0,0
40602,406,4,KHM,Banteay Preal,Rolea B'ier,Kampong Chhnang,Cambodia,19.954,0,0,0,0,0,0
60801,608,6,KHM,Banteay Stoung,Stoung,Kampong Thom,Cambodia,42.172,0,0,0,0,0,0
160701,1607,16,KHM,Bar Kham,Ou Ya Dav,Ratanak Kiri,Cambodia,14.009,0,0.209,0.209,0,0.014918980655293,0.014918980655293
240104,2401,24,KHM,Bar Yakha,Pailin,Pailin,Cambodia,27.229,0,3.674,3.674,0,0.134929670571817,0.134929670571817
21104,211,2,KHM,Barang Thleak,Phnum Proek,Battambang,Cambodia,41.772,1.087,8.082,8.082,0.0260222158383606,0.193478885377765,0.193478885377765
31301,313,3,KHM,Baray,Prey Chhor,Kampong Cham,Cambodia,56.456,0,0,0,0,0,0
31401,314,3,KHM,Baray,Srei Santhor,Kampong Cham,Cambodia,58.48,0,0,0,0,0,0
60103,601,6,KHM,Baray,Baray,Kampong Thom,Cambodia,103.176,0,0,0,0,0,0
141001,1410,14,KHM,Baray,Prey Veng,Prey Veng,Cambodia,43.47,0,0,0,0,0,0
210801,2108,21,KHM,Baray,Doun Kaev,Takeo,Cambodia,94.123,0,0,0,0,0,0
80103,801,8,KHM,Barku,Kandal Stueng,Kandal,Cambodia,71.465,0,0,0,0,0,0
80602,806,8,KHM,Barong,Lvea Aem,Kandal,Cambodia,23.101,0,0,0,0,0,0
21405,214,2,KHM,Basak,Rukh Kiri,Battambang,Cambodia,21.731,0.233,0.825,0.825,0.0107220100317519,0.0379641986102802,0.0379641986102802
200502,2005,20,KHM,Basak,Svay Chrum,Svay Rieng,Cambodia,44.239,0,0,0,0,0,0
50101,501,5,KHM,Basedth,Basedth,Kampong Speu,Cambodia,88.906,0,0,0,0,0,0
10202,102,1,KHM,Bat Trang,Mongkol Borei,Banteay Meanchey,Cambodia,68.229,0,0,0,0,0,0
30101,301,3,KHM,Batheay,Batheay,Kampong Cham,Cambodia,108.567,9.354,39.167,39.167,0.0861587775290834,0.360763399559719,0.360763399559719
200801,2008,20,KHM,Bati,Bavet,Svay Rieng,Cambodia,148.532,0,0,0,0,0,0
20401,204,2,KHM,Bavel,Bavel,Battambang,Cambodia,271.939,0,0,0,0,0,0
200802,2008,20,KHM,Bavet,Bavet,Svay Rieng,Cambodia,459.691,0,0,0,0,0,0
20103,201,2,KHM,Bay Damram,Banan,Battambang,Cambodia,41.186,0,0,0,0,0,0
180103,1801,18,KHM,Bei,Preah Sihanouk,Preah Sihanouk,Cambodia,411.852,0,120.61,120.61,0,0.292847916241757,0.292847916241757
220202,2202,22,KHM,Beng,Banteay Ampil,Oddar Meanchey,Cambodia,120.874,0,0,0,0,0,0
180203,1802,18,KHM,Bet Trang,Prey Nob,Preah Sihanouk,Cambodia,261.26,0.045,33.612,33.612,0.000172242210824466,0.128653448671821,0.128653448671821
60104,601,6,KHM,Boeng,Baray,Kampong Thom,Cambodia,69.784,0,0,0,0,0,0
150101,1501,15,KHM,Boeng Bat Kandaol,Bakan,Pursat,Cambodia,35.654,0,0,0,0,0,0
10901,109,1,KHM,Boeng Beng,Malai,Banteay Meanchey,Cambodia,90.03,0,0,0,0,0,0
100401,1004,10,KHM,Boeng Char,Sambour,Kratie,Cambodia,4.609,0,0,0,0,0,0
140903,1409,14,KHM,Boeng Daol,Preah Sdach,Prey Veng,Cambodia,31.55,0,0,0,0,0,0
120407,1204,12,KHM,Boeng Kak Ti Muoy,Tuol Kouk,Phnom Penh,Cambodia,153.561,0,0,0,0,0,0
120408,1204,12,KHM,Boeng Kak Ti Pir,Tuol Kouk,Phnom Penh,Cambodia,178.658,0,0,0,0,0,0
160204,1602,16,KHM,Boeng Kansaeng,Ban Lung,Ratanak Kiri,Cambodia,126.208,0,1.675,1.675,0,0.0132717418864097,0.0132717418864097
150303,1503,15,KHM,Boeng Kantuot,Krakor,Pursat,Cambodia,55.433,0,0,0,0,0,0
121303,1213,12,KHM,Boeng Keng Kang Ti Bei,Boeng Keng Kang,Phnom Penh,Cambodia,91.198,0,0,0,0,0,0
121301,1213,12,KHM,Boeng Keng Kang Ti Muoy,Boeng Keng Kang,Phnom Penh,Cambodia,110.751,0,0,0,0,0,0
121302,1213,12,KHM,Boeng Keng Kang Ti Pir,Boeng Keng Kang,Phnom Penh,Cambodia,43.496,0,0,0,0,0,0
150102,1501,15,KHM,Boeng Khnar,Bakan,Pursat,Cambodia,144.058,0,0,0,0,0,0
80104,801,8,KHM,Boeng Khyang,Kandal Stueng,Kandal,Cambodia,69.376,0,0,0,0,0,0
30501,305,3,KHM,Boeng Kok,Kampong Cham,Kampong Cham,Cambodia,110.041,0,0,0,0,0,0
80603,806,8,KHM,Boeng Krum,Lvea Aem,Kandal,Cambodia,22.996,0,0,0,0,0,0
60701,607,6,KHM,Boeng Lvea,Santuk,Kampong Thom,Cambodia,100.616,0,0,0,0,0,0
171301,1713,17,KHM,Boeng Mealea,Svay Leu,Siemreap,Cambodia,27.659,0,0.221,0.221,0,0.00799016594960049,0.00799016594960049
31302,313,3,KHM,Boeng Nay,Prey Chhor,Kampong Cham,Cambodia,109.214,0,0,0,0,0,0
70303,703,7,KHM,Boeng Nimol,Chhuk,Kampot,Cambodia,24.212,0,0,0,0,0,0
140101,1401,14,KHM,Boeng Preah,Ba Phnum,Prey Veng,Cambodia,62.076,0,0,0,0,0,0
90601,906,9,KHM,Boeng Preav,Srae Ambel,Koh Kong,Cambodia,58.649,0,22.095,22.095,0,0.376732766117069,0.376732766117069
20207,202,2,KHM,Boeng Pring,Thma Koul,Battambang,Cambodia,110.475,0,0,0,0,0,0
120308,1203,12,KHM,Boeng Proluet,Prampir Meakkakra,Phnom Penh,Cambodia,56.203,0,0,0,0,0,0
250202,2502,25,KHM,Boeng Pruol,Tboung Khmum,Tboung Khmum,Cambodia,32.973,0,0,0,0,0,0
21202,212,2,KHM,Boeng Reang,Kamrieng,Battambang,Cambodia,209.026,0,0,0,0,0,0
120204,1202,12,KHM,Boeng Reang,Doun Penh,Phnom Penh,Cambodia,67.586,0,0,0,0,0,0
70601,706,7,KHM,Boeng Sala Khang Cheung,Kampong Trach,Kampot,Cambodia,24.213,0,0,0,0,0,0
70602,706,7,KHM,Boeng Sala Khang Tboung,Kampong Trach,Kampot,Cambodia,12.916,0,0,0,0,0,0
120410,1204,12,KHM,Boeng Salang,Tuol Kouk,Phnom Penh,Cambodia,92.914,0,0,0,0,0,0
180202,1802,18,KHM,Boeng Ta Prum,Prey Nob,Preah Sihanouk,Cambodia,12.165,0,0,0,0,0,0
121406,1214,12,KHM,Boeng Thum,Kamboul,Phnom Penh,Cambodia,156.58,0,0,0,0,0,0
120111,1201,12,KHM,Boeng Trabaek,Chamkar Mon,Phnom Penh,Cambodia,57.751,0,0,0,0,0,0
210701,2107,21,KHM,Boeng Tranh Khang Cheung,Samraong,Takeo,Cambodia,82.923,0,0,0,0,0,0
210702,2107,21,KHM,Boeng Tranh Khang Tboung,Samraong,Takeo,Cambodia,112.529,0,0,0,0,0,0
70701,707,7,KHM,Boeng Tuk,Tuek Chhou,Kampot,Cambodia,32.922,0,0.261,0.261,0,0.00792782941498087,0.00792782941498087
120605,1206,12,KHM,Boeng Tumpun Ti 2,Mean Chey,Phnom Penh,Cambodia,190.491,0,0,0,0,0,0
20408,204,2,KHM,Boeung Pram,Bavel,Battambang,Cambodia,26.806,0,0,0,0,0,0
210301,2103,21,KHM,Borei Cholsar,Borei Cholsar,Takeo,Cambodia,19.375,0,0,0,0,0,0
30201,302,3,KHM,Bos Khnor,Chamkar Leu,Kampong Cham,Cambodia,215.179,0,0.686,0.686,0,0.00318804344290103,0.00318804344290103
100601,1006,10,KHM,Bos Leav,Chetr Borei,Kratie,Cambodia,33.439,0,0,0,0,0,0
200301,2003,20,KHM,Bos Mon,Rumduol,Svay Rieng,Cambodia,43.374,0,0,0,0,0,0
10409,104,1,KHM,Bos Sbov,Preah Netr Preah,Banteay Meanchey,Cambodia,145.324,0,0,0,0,0,0
220402,2204,22,KHM,Bos Sbov,Samraong,Oddar Meanchey,Cambodia,32.944,0,0,0,0,0,0
21103,211,2,KHM,Bour,Phnum Proek,Battambang,Cambodia,48.698,8.205,13.275,13.275,0.168487412214054,0.272598464002628,0.272598464002628
110404,1104,11,KHM,Bu Sra,Pech Chreada,Mondul Kiri,Cambodia,41.19,0,0.416,0.416,0,0.010099538722991,0.010099538722991
180104,1801,18,KHM,Buon,Preah Sihanouk,Preah Sihanouk,Cambodia,659.654,0,130.092,130.092,0,0.197212478056678,0.197212478056678
160601,1606,16,KHM,Cha Ung,Ou Chum,Ratanak Kiri,Cambodia,5.555,0,0,0,0,0,0
20105,201,2,KHM,Chaeng Mean Chey,Banan,Battambang,Cambodia,34.609,0,0,0,0,0,0
60105,601,6,KHM,Chaeung Daeung,Baray,Kampong Thom,Cambodia,80.097,0,0,0,0,0,0
40103,401,4,KHM,Chak,Baribour,Kampong Chhnang,Cambodia,18.591,0,0,0,0,0,0
250302,2503,25,KHM,Chak,Ou Reang Ov,Tboung Khmum,Cambodia,90.258,0,0,0,0,0,0
120607,1206,12,KHM,Chak Angrae Kraom,Mean Chey,Phnom Penh,Cambodia,181.975,0,0,0,0,0,0
120606,1206,12,KHM,Chak Angrae Leu,Mean Chey,Phnom Penh,Cambodia,141.5,0,0,0,0,0,0
120207,1202,12,KHM,Chakto Mukh,Doun Penh,Phnom Penh,Cambodia,81.554,0,0,0,0,0,0
140302,1403,14,KHM,Cham,Kampong Trabaek,Prey Veng,Cambodia,47.83,0,0,0,0,0,0
100301,1003,10,KHM,0,Prek Prasab,Kratie,Cambodia,64.15,0,0,0,0,0,0
50601,506,5,KHM,Chambak,Phnum Sruoch,Kampong Speu,Cambodia,8.494,0,0,0,0,0,0
200503,2005,20,KHM,Chambak,Svay Chrum,Svay Rieng,Cambodia,45.488,0,0,0,0,0,0
210201,2102,21,KHM,Chambak,Bati,Takeo,Cambodia,151.067,0,0,0,0,0,0
30202,302,3,KHM,Chamkar Andoung,Chamkar Leu,Kampong Cham,Cambodia,79.955,0,0,0,0,0,0
190502,1905,19,KHM,Chamkar Leu,Thala Barivat,Stung Treng,Cambodia,10.088,0,0,0,0,0,0
180401,1804,18,KHM,Chamkar Luong,Kampong Seila,Preah Sihanouk,Cambodia,37.045,0,0.58,0.58,0,0.0156566338237279,0.0156566338237279
60802,608,6,KHM,Chamna Kraom,Stoung,Kampong Thom,Cambodia,73.158,0,0,0,0,0,0
60803,608,6,KHM,Chamna Leu,Stoung,Kampong Thom,Cambodia,42.739,0,0,0,0,0,0
10203,102,1,KHM,Chamnaom,Mongkol Borei,Banteay Meanchey,Cambodia,123.967,0,0,0,0,0,0
210603,2106,21,KHM,Champa,Prey Kabbas,Takeo,Cambodia,62.568,0,0,0,0,0,0
70103,701,7,KHM,Champei,Angkor Chey,Kampot,Cambodia,41.879,0,0,0,0,0,0
210202,2102,21,KHM,Champei,Bati,Takeo,Cambodia,68.035,0,0,0,0,0,0
130601,1306,13,KHM,Chamraeun,Sangkum Thmei,Preah Vihear,Cambodia,43.406,0,0,0,0,0,0
150501,1505,15,KHM,Chamraeun Phal,Pursat,Pursat,Cambodia,23.635,0,0,0,0,0,0
250701,2507,25,KHM,Chan Mul,Memot,Tboung Khmum,Cambodia,4.756,0,0,0,0,0,0
171101,1711,17,KHM,Chan Sa,Soutr Nikom,Siemreap,Cambodia,73.574,0,0,0,0,0,0
50501,505,5,KHM,Chan Saen,Odongk,Kampong Speu,Cambodia,68.601,0,0,0,0,0,0
10501,105,1,KHM,Changha,Ou Chrov,Banteay Meanchey,Cambodia,96.158,0,0,0,0,0,0
100602,1006,10,KHM,Changkrang,Chetr Borei,Kratie,Cambodia,13.01,0,0,0,0,0,0
170601,1706,17,KHM,Chanleas Dai,Kralanh,Siemreap,Cambodia,65.859,0,0,0,0,0,0
200103,2001,20,KHM,Chantrea,Chantrea,Svay Rieng,Cambodia,11.502,0,0,0,0,0,0
200405,2004,20,KHM,Chantrei,Romeas Haek,Svay Rieng,Cambodia,54.872,0,0,0,0,0,0
120905,1209,12,KHM,Chaom Chau Ti 1,Pur SenChey,Phnom Penh,Cambodia,866.75,0,0,0,0,0,0
40803,408,4,KHM,Chaong Maong,Tuek Phos,Kampong Chhnang,Cambodia,42.418,0.662,1.468,1.468,0.0156065821113678,0.0346079494554199,0.0346079494554199
210604,2106,21,KHM,Char,Prey Kabbas,Takeo,Cambodia,79.101,0,0,0,0,0,0
170101,1701,17,KHM,Char Chhuk,Angkor Chum,Siemreap,Cambodia,99.998,0,0,0,0,0,0
30102,301,3,KHM,Chbar Ampov,Batheay,Kampong Cham,Cambodia,33.863,0,0,0,0,0,0
121202,1212,12,KHM,Chbar Ampov Ti Pir,Chbar Ampov,Phnom Penh,Cambodia,90.643,0,0,0,0,0,0
50201,502,5,KHM,Chbar Mon,Chbar Mon,Kampong Speu,Cambodia,157.408,0,0,0,0,0,0
141302,1413,14,KHM,Chea Khlang,Svay Antor,Prey Veng,Cambodia,63.577,0,0,0,0,0,0
140201,1402,14,KHM,Cheach,Kamchay Mear,Prey Veng,Cambodia,101.981,0,0,0,0,0,0
30103,301,3,KHM,Chealea,Batheay,Kampong Cham,Cambodia,106.269,0,32.566,32.566,0,0.306448729168431,0.306448729168431
140303,1403,14,KHM,Cheang Daek,Kampong Trabaek,Prey Veng,Cambodia,40.728,0,0,0,0,0,0
210902,2109,21,KHM,Cheang Tong,Tram Kak,Takeo,Cambodia,71.42,0,0,0,0,0,0
200605,2006,20,KHM,Chek,Svay Rieng,Svay Rieng,Cambodia,101.29,0,0,0,0,0,0
120515,1205,12,KHM,Cheung Aek,Dangkao,Phnom Penh,Cambodia,160.736,0,0,0,0,0,0
80105,801,8,KHM,Cheung Kaeub,Kandal Stueng,Kandal,Cambodia,73.682,0,0,0,0,0,0
180204,1802,18,KHM,Cheung Kou,Prey Nob,Preah Sihanouk,Cambodia,26.837,0,0,0,0,0,0
40603,406,4,KHM,Cheung Kreav,Rolea B'ier,Kampong Chhnang,Cambodia,48.987,0,0,0,0,0,0
210703,2107,21,KHM,Cheung Kuon,Samraong,Takeo,Cambodia,78.004,0,0,0,0,0,0
140102,1401,14,KHM,Cheung Phnum,Ba Phnum,Prey Veng,Cambodia,80.121,0.352,8.627,8.627,0.00439335505048614,0.107674642103818,0.107674642103818
30104,301,3,KHM,Cheung Prey,Batheay,Kampong Cham,Cambodia,102.891,0,0,0,0,0,0
50502,505,5,KHM,Cheung Roas,Odongk,Kampong Speu,Cambodia,74.731,0,1.733,1.733,0,0.0231898408960137,0.0231898408960137
220301,2203,22,KHM,Cheung Tien,Chong Kal,Oddar Meanchey,Cambodia,40.218,0,0,0,0,0,0
141002,1410,14,KHM,Cheung Tuek,Prey Veng,Prey Veng,Cambodia,67.911,0,0,0,0,0,0
60201,602,6,KHM,Chey,Kampong Svay,Kampong Thom,Cambodia,30.953,0,0,0,0,0,0
210302,2103,21,KHM,Chey Chouk,Borei Cholsar,Takeo,Cambodia,5.634,0,0,0,0,0,0
120208,1202,12,KHM,Chey Chummeah,Doun Penh,Phnom Penh,Cambodia,33.835,0,0,0,0,0,0
140904,1409,14,KHM,Chey Kampok,Preah Sdach,Prey Veng,Cambodia,35.216,0,0,0,0,0,0
160501,1605,16,KHM,Chey Otdam,Lumphat,Ratanak Kiri,Cambodia,28.784,0,0,0,0,0,0
80302,803,8,KHM,Chey Thum,Khsach Kandal,Kandal,Cambodia,62.373,0,0,0,0,0,0
30203,302,3,KHM,Cheyyou,Chamkar Leu,Kampong Cham,Cambodia,108.074,0,0,0,0,0,0
130201,1302,13,KHM,Chhaeb Muoy,Chhaeb,Preah Vihear,Cambodia,42.379,0,0,0,0,0,0
130202,1302,13,KHM,Chhaeb Pir,Chhaeb,Preah Vihear,Cambodia,11.562,0,0,0,0,0,0
80803,808,8,KHM,Chhak Chheu Neang,Angk Snuol,Kandal,Cambodia,59.534,0,0,0,0,0,0
121201,1212,12,KHM,Chhbar Ampov Ti Muoy,Chbar Ampov,Phnom Penh,Cambodia,39.506,0,0,0,0,0,0
40701,407,4,KHM,Chhean Laeung,Sameakki Mean Chey,Kampong Chhnang,Cambodia,12.715,0,0.154,0.154,0,0.0121116791191506,0.0121116791191506
130703,1307,13,KHM,Chhean Mukh,Tbaeng Mean Chey,Preah Vihear,Cambodia,11.207,0,4.977,4.977,0,0.444097439100562,0.444097439100562
140103,1401,14,KHM,Chheu Kach,Ba Phnum,Prey Veng,Cambodia,49.021,0,0,0,0,0,0
80401,804,8,KHM,Chheu Kmau,Kaoh Thum,Kandal,Cambodia,72.173,0,0,0,0,0,0
20104,201,2,KHM,Chheu Teal,Banan,Battambang,Cambodia,109.405,0,0.838,0.838,0,0.00765961336319181,0.00765961336319181
