ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_agri_ESA20_agri,agri_ESA20_agri_exp,agri_ESA20_agri_freq
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,646.07,172.488,0.0270279671629331
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,457.728,403.559,0.027027027027027
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,75.957,0,0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,6874.351,466.723,0.0270267374866891
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,349.116,315.595,0.0328649059712606
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,20615.807,6609.787,0.054007943069875
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,2100.607,0,0
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,4429.484,4121.935,0.0272049413685563
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4065.797,3976.721,0.0810811218589386
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,35721.801,7354.238,0.0535557864730513
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,4026.933,3847.984,0.0606101792523046
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,19386.541,658.74,0.135158028964387
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,2779.109,2673.321,0.0810811720702452
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,9215.521,5825.97,0.0270270873348129
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,1139.326,1004.848,0.0270269732337627
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,7701.315,5695.105,0.162057942742057
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,278.931,150.555,0.0270266679950848
60912,609,6,KHM,Andoung Pou,Taing Kouk,Kampong Thom,Cambodia,2091.436,0,0
200402,2004,20,KHM,Andoung Pou,Romeas Haek,Svay Rieng,Cambodia,2675.533,2543.551,0.0810811342096148
40601,406,4,KHM,Andoung Snay,Rolea B'ier,Kampong Chhnang,Cambodia,2432.225,2316.314,0.0336681468920017
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,1892.477,1818.426,0.0540538905624975
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,2896.441,2778.535,0.0858222048669533
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,777.499,0,0
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,1176.723,1120.306,0.0540272032819605
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,3922.777,126.239,0.0270280974976037
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,2108.919,67.589,0.108109307727589
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,1929.296,1858.068,0.02702699793549
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,1577.057,1498.532,0.0539454612914506
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,6848.466,6147.407,0.0315907178424985
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,3012.341,2920.277,0.0814039216142852
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,1806.468,1457.895,0.0270273236412773
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,3200.198,3073.639,0.054090607257391
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,1254.839,1177.718,0.081081379413408
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,1390.03,1293.58,0.108107732030489
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,1866.321,0,0
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,2011.666,1919.99,0.0286011906312012
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,3779.733,3664.941,0.0270269016608999
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,6775.043,6488.027,0.0811698225053626
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,717.734,658.725,0.054054423317773
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,2517.822,2446.724,0.108061227993023
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,4407.82,4245.925,0.0270270906810648
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,3159.561,2989.157,0.104446504482702
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,5379.589,5157.71,0.189189194429311
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,6344.764,108.65,0.0810584445467096
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,5135.163,34.221,0.0270301861430116
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,1003.675,943.395,0.0270268551349117
