ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_agri_ESA20_agri,agri_ESA20_agri_exp,agri_ESA20_agri_freq
220501,2205,22,KHM,Bak Anloung,Trapeang Prasat,Oddar Meanchey,Cambodia,9286.283,1862.514,0.0540538218773121
150401,1504,15,KHM,Bak Chenhchien,Phnum Kravanh,Pursat,Cambodia,4577.343,0,0
80301,803,8,KHM,Bak Dav,Khsach Kandal,Kandal,Cambodia,735.749,697.848,0.0422570531118524
121005,1210,12,KHM,Bak Kaeng,Chraoy Chongvar,Phnom Penh,Cambodia,583.777,505.897,0.18882697466085
60101,601,6,KHM,Bak Sna,Baray,Kampong Thom,Cambodia,3175.16,504.185,0.0270277775023057
170902,1709,17,KHM,Bakong,Prasat Bakong,Siemreap,Cambodia,1964.707,0,0
60102,601,6,KHM,Ballangk,Baray,Kampong Thom,Cambodia,4244.759,609.467,0.027026893990979
170903,1709,17,KHM,Ballangk,Prasat Bakong,Siemreap,Cambodia,3744.653,0,0
210602,2106,21,KHM,Ban Kam,Prey Kabbas,Takeo,Cambodia,2079.82,1267.831,0.0810809958109559
70301,703,7,KHM,Baniev,Chhuk,Kampot,Cambodia,2278.836,34.703,0.054058726911218
140702,1407,14,KHM,Banlich Prasat,Peam Ro,Prey Veng,Cambodia,1773.8,1693.731,0.239832063060781
220401,2204,22,KHM,Bansay Reak,Samraong,Oddar Meanchey,Cambodia,12719.205,0,0
20209,202,2,KHM,Bansay Traeng,Thma Koul,Battambang,Cambodia,6897.451,3305.412,0.0270268880248514
140902,1409,14,KHM,Banteay Chakrei,Preah Sdach,Prey Veng,Cambodia,9002.746,8754.608,0.135182865983263
10701,107,1,KHM,Banteay Chhmar,Thma Puok,Banteay Meanchey,Cambodia,48428.891,0,0
80201,802,8,KHM,Banteay Daek,Kien Svay,Kandal,Cambodia,3851.978,1864.886,0.0810810955736705
150508,1505,15,KHM,Banteay Dei,Pursat,Pursat,Cambodia,1570.968,0,0
200201,2002,20,KHM,Banteay Krang,Kampong Rou,Svay Rieng,Cambodia,3297.768,2847.96,0.0270270649868678
70201,702,7,KHM,Banteay Meas Khang Kaeut,Banteay Meas,Kampot,Cambodia,3922.451,85.703,0.0540587844066135
70202,702,7,KHM,Banteay Meas Khang Lech,Banteay Meas,Kampot,Cambodia,3609.364,269.243,0.0540552586325364
10201,102,1,KHM,Banteay Neang,Mongkol Borei,Banteay Meanchey,Cambodia,5541.956,693.389,0.0540533524471833
40602,406,4,KHM,Banteay Preal,Rolea B'ier,Kampong Chhnang,Cambodia,3295.522,47.058,0.0540609460665562
60801,608,6,KHM,Banteay Stoung,Stoung,Kampong Thom,Cambodia,6292.918,0,0
160701,1607,16,KHM,Bar Kham,Ou Ya Dav,Ratanak Kiri,Cambodia,2525.111,0,0
240104,2401,24,KHM,Bar Yakha,Pailin,Pailin,Cambodia,1348.121,261.333,0.0270268201872706
21104,211,2,KHM,Barang Thleak,Phnum Proek,Battambang,Cambodia,7079.354,6308.535,0.0295656598560522
31301,313,3,KHM,Baray,Prey Chhor,Kampong Cham,Cambodia,3169.844,0,0
31401,314,3,KHM,Baray,Srei Santhor,Kampong Cham,Cambodia,5547.121,4614.746,0.0270270563103581
60103,601,6,KHM,Baray,Baray,Kampong Thom,Cambodia,9500.178,4603.644,0.0270270681225568
141001,1410,14,KHM,Baray,Prey Veng,Prey Veng,Cambodia,2194.747,932.628,0.0702402243981523
210801,2108,21,KHM,Baray,Doun Kaev,Takeo,Cambodia,1653.759,973.881,0.0276460881770976
80103,801,8,KHM,Barku,Kandal Stueng,Kandal,Cambodia,393.013,0,0
80602,806,8,KHM,Barong,Lvea Aem,Kandal,Cambodia,2216.488,839.842,0.0799317014390802
21405,214,2,KHM,Basak,Rukh Kiri,Battambang,Cambodia,5791.149,411.383,0.108108502295914
200502,2005,20,KHM,Basak,Svay Chrum,Svay Rieng,Cambodia,4991.891,3644.476,0.0861089495444613
50101,501,5,KHM,Basedth,Basedth,Kampong Speu,Cambodia,3484.94,1628.45,0.0540538548926894
10202,102,1,KHM,Bat Trang,Mongkol Borei,Banteay Meanchey,Cambodia,4204.17,338.27,0.0540544535430278
30101,301,3,KHM,Batheay,Batheay,Kampong Cham,Cambodia,8801.221,5163.849,0.189237330526125
200801,2008,20,KHM,Bati,Bavet,Svay Rieng,Cambodia,2331.507,1245.818,0.0271147149904721
20401,204,2,KHM,Bavel,Bavel,Battambang,Cambodia,5970.578,41.96,0.0540514775977121
200802,2008,20,KHM,Bavet,Bavet,Svay Rieng,Cambodia,1980.682,460.659,0.0275040756828804
20103,201,2,KHM,Bay Damram,Banan,Battambang,Cambodia,5157.225,0,0
180103,1801,18,KHM,Bei,Preah Sihanouk,Preah Sihanouk,Cambodia,19.04,0,0
220202,2202,22,KHM,Beng,Banteay Ampil,Oddar Meanchey,Cambodia,48632.785,740.21,0.0289579984058578
180203,1802,18,KHM,Bet Trang,Prey Nob,Preah Sihanouk,Cambodia,429.518,47.391,0.0828849359583043
60104,601,6,KHM,Boeng,Baray,Kampong Thom,Cambodia,2867.007,744.226,0.027026736502084
150101,1501,15,KHM,Boeng Bat Kandaol,Bakan,Pursat,Cambodia,14172.174,4612.533,0.0540540306161495
10901,109,1,KHM,Boeng Beng,Malai,Banteay Meanchey,Cambodia,2924.318,2156.494,0.081081143745357
100401,1004,10,KHM,Boeng Char,Sambour,Kratie,Cambodia,3477.652,215.317,0.054055183752328
140903,1409,14,KHM,Boeng Daol,Preah Sdach,Prey Veng,Cambodia,5447.181,5313.819,0.133182180273735
120407,1204,12,KHM,Boeng Kak Ti Muoy,Tuol Kouk,Phnom Penh,Cambodia,0.94,0,0
120408,1204,12,KHM,Boeng Kak Ti Pir,Tuol Kouk,Phnom Penh,Cambodia,0,0,0
160204,1602,16,KHM,Boeng Kansaeng,Ban Lung,Ratanak Kiri,Cambodia,57.9,0,0
150303,1503,15,KHM,Boeng Kantuot,Krakor,Pursat,Cambodia,4911.176,0,0
121303,1213,12,KHM,Boeng Keng Kang Ti Bei,Boeng Keng Kang,Phnom Penh,Cambodia,0,0,0
121301,1213,12,KHM,Boeng Keng Kang Ti Muoy,Boeng Keng Kang,Phnom Penh,Cambodia,0,0,0
121302,1213,12,KHM,Boeng Keng Kang Ti Pir,Boeng Keng Kang,Phnom Penh,Cambodia,0,0,0
150102,1501,15,KHM,Boeng Khnar,Bakan,Pursat,Cambodia,6350.9,509.67,0.0540545843388859
80104,801,8,KHM,Boeng Khyang,Kandal Stueng,Kandal,Cambodia,1677.876,683.697,0.0688813904405022
30501,305,3,KHM,Boeng Kok,Kampong Cham,Kampong Cham,Cambodia,25.572,17.471,0.0270161982714212
80603,806,8,KHM,Boeng Krum,Lvea Aem,Kandal,Cambodia,639.236,611.986,0.0810819201746445
60701,607,6,KHM,Boeng Lvea,Santuk,Kampong Thom,Cambodia,4327.193,16.86,0.081079478054567
171301,1713,17,KHM,Boeng Mealea,Svay Leu,Siemreap,Cambodia,13847.137,0,0
31302,313,3,KHM,Boeng Nay,Prey Chhor,Kampong Cham,Cambodia,6962.821,560.797,0.0270276053545222
70303,703,7,KHM,Boeng Nimol,Chhuk,Kampot,Cambodia,2583.277,187.896,0.054471622599736
140101,1401,14,KHM,Boeng Preah,Ba Phnum,Prey Veng,Cambodia,4632.458,11.99,0.027022518765638
90601,906,9,KHM,Boeng Preav,Srae Ambel,Koh Kong,Cambodia,1189.038,784.975,0.0270378037517118
20207,202,2,KHM,Boeng Pring,Thma Koul,Battambang,Cambodia,8639.461,6346.338,0.0311400054645687
120308,1203,12,KHM,Boeng Proluet,Prampir Meakkakra,Phnom Penh,Cambodia,0,0,0
250202,2502,25,KHM,Boeng Pruol,Tboung Khmum,Tboung Khmum,Cambodia,1794.909,1701.318,0.0270272812019858
21202,212,2,KHM,Boeng Reang,Kamrieng,Battambang,Cambodia,3081.838,2393.687,0.081081193990693
120204,1202,12,KHM,Boeng Reang,Doun Penh,Phnom Penh,Cambodia,0,0,0
70601,706,7,KHM,Boeng Sala Khang Cheung,Kampong Trach,Kampot,Cambodia,2295.175,489.64,0.081082019442856
70602,706,7,KHM,Boeng Sala Khang Tboung,Kampong Trach,Kampot,Cambodia,3073.611,207.09,0.0810806895552658
120410,1204,12,KHM,Boeng Salang,Tuol Kouk,Phnom Penh,Cambodia,0,0,0
180202,1802,18,KHM,Boeng Ta Prum,Prey Nob,Preah Sihanouk,Cambodia,1236.2,300.484,0.0540527948243501
121406,1214,12,KHM,Boeng Thum,Kamboul,Phnom Penh,Cambodia,1145.81,0,0
120111,1201,12,KHM,Boeng Trabaek,Chamkar Mon,Phnom Penh,Cambodia,0,0,0
210701,2107,21,KHM,Boeng Tranh Khang Cheung,Samraong,Takeo,Cambodia,2309.272,0,0
210702,2107,21,KHM,Boeng Tranh Khang Tboung,Samraong,Takeo,Cambodia,2772.593,158.218,0.0810780062951118
70701,707,7,KHM,Boeng Tuk,Tuek Chhou,Kampot,Cambodia,309.761,0,0
120605,1206,12,KHM,Boeng Tumpun Ti 2,Mean Chey,Phnom Penh,Cambodia,1.07,0.01,0
20408,204,2,KHM,Boeung Pram,Bavel,Battambang,Cambodia,8546.251,88,0.0270227272727273
210301,2103,21,KHM,Borei Cholsar,Borei Cholsar,Takeo,Cambodia,5320.922,4328.318,0.162510702771839
30201,302,3,KHM,Bos Khnor,Chamkar Leu,Kampong Cham,Cambodia,6988.362,3732.45,0.0291189433214109
100601,1006,10,KHM,Bos Leav,Chetr Borei,Kratie,Cambodia,3390.078,2388.302,0.0270271515076402
200301,2003,20,KHM,Bos Mon,Rumduol,Svay Rieng,Cambodia,3232.032,229.388,0.0511622229584808
10409,104,1,KHM,Bos Sbov,Preah Netr Preah,Banteay Meanchey,Cambodia,13293.924,0,0
220402,2204,22,KHM,Bos Sbov,Samraong,Oddar Meanchey,Cambodia,9630.936,0,0
21103,211,2,KHM,Bour,Phnum Proek,Battambang,Cambodia,4182.099,3438.422,0.0524595294004052
110404,1104,11,KHM,Bu Sra,Pech Chreada,Mondul Kiri,Cambodia,1990.501,11.921,0.0270111567821491
180104,1801,18,KHM,Buon,Preah Sihanouk,Preah Sihanouk,Cambodia,92.997,0.1,0.23
160601,1606,16,KHM,Cha Ung,Ou Chum,Ratanak Kiri,Cambodia,843.964,0,0
20105,201,2,KHM,Chaeng Mean Chey,Banan,Battambang,Cambodia,10821.448,5230.075,0.0632384812837292
60105,601,6,KHM,Chaeung Daeung,Baray,Kampong Thom,Cambodia,7100.918,1881.24,0.0270268546277987
40103,401,4,KHM,Chak,Baribour,Kampong Chhnang,Cambodia,1710.583,281.522,0.0540526140052998
250302,2503,25,KHM,Chak,Ou Reang Ov,Tboung Khmum,Cambodia,6199.012,59.68,0.0810824396782842
120607,1206,12,KHM,Chak Angrae Kraom,Mean Chey,Phnom Penh,Cambodia,132.652,64.011,0.0312133851994189
120606,1206,12,KHM,Chak Angrae Leu,Mean Chey,Phnom Penh,Cambodia,11.169,0,0
120207,1202,12,KHM,Chakto Mukh,Doun Penh,Phnom Penh,Cambodia,1.22,0,0
140302,1403,14,KHM,Cham,Kampong Trabaek,Prey Veng,Cambodia,4717.183,3655.594,0.160713142652056
100301,1003,10,KHM,0,Prek Prasab,Kratie,Cambodia,1394.138,0,0
50601,506,5,KHM,Chambak,Phnum Sruoch,Kampong Speu,Cambodia,2202.023,0,0
200503,2005,20,KHM,Chambak,Svay Chrum,Svay Rieng,Cambodia,3652.385,1059.346,0.08108115761989
210201,2102,21,KHM,Chambak,Bati,Takeo,Cambodia,2340.226,0,0
30202,302,3,KHM,Chamkar Andoung,Chamkar Leu,Kampong Cham,Cambodia,4542.606,771.021,0.0272833035676071
190502,1905,19,KHM,Chamkar Leu,Thala Barivat,Stung Treng,Cambodia,1600.568,0,0
180401,1804,18,KHM,Chamkar Luong,Kampong Seila,Preah Sihanouk,Cambodia,382.403,117.341,0.0323416367680521
60802,608,6,KHM,Chamna Kraom,Stoung,Kampong Thom,Cambodia,15359.391,7.53,0.0270916334661355
60803,608,6,KHM,Chamna Leu,Stoung,Kampong Thom,Cambodia,4098.33,0,0
10203,102,1,KHM,Chamnaom,Mongkol Borei,Banteay Meanchey,Cambodia,12283.348,0,0
210603,2106,21,KHM,Champa,Prey Kabbas,Takeo,Cambodia,1632.688,244.009,0.0810789765951256
70103,701,7,KHM,Champei,Angkor Chey,Kampot,Cambodia,3340.713,191.02,0.0540519317348969
210202,2102,21,KHM,Champei,Bati,Takeo,Cambodia,2289.361,530.085,0.162162672024298
130601,1306,13,KHM,Chamraeun,Sangkum Thmei,Preah Vihear,Cambodia,3573.288,0,0
150501,1505,15,KHM,Chamraeun Phal,Pursat,Pursat,Cambodia,5111.072,0,0
250701,2507,25,KHM,Chan Mul,Memot,Tboung Khmum,Cambodia,542.844,0,0
171101,1711,17,KHM,Chan Sa,Soutr Nikom,Siemreap,Cambodia,7674.611,1071.087,0.0270267494610615
50501,505,5,KHM,Chan Saen,Odongk,Kampong Speu,Cambodia,2571.23,0,0
10501,105,1,KHM,Changha,Ou Chrov,Banteay Meanchey,Cambodia,7931.244,0,0
100602,1006,10,KHM,Changkrang,Chetr Borei,Kratie,Cambodia,4406.279,356.593,0.0270280123277798
170601,1706,17,KHM,Chanleas Dai,Kralanh,Siemreap,Cambodia,8359.482,356.155,0.0270275582260533
200103,2001,20,KHM,Chantrea,Chantrea,Svay Rieng,Cambodia,6849.835,5528.914,0.0270270074738005
200405,2004,20,KHM,Chantrei,Romeas Haek,Svay Rieng,Cambodia,2959.417,0,0
120905,1209,12,KHM,Chaom Chau Ti 1,Pur SenChey,Phnom Penh,Cambodia,255.405,0,0
40803,408,4,KHM,Chaong Maong,Tuek Phos,Kampong Chhnang,Cambodia,5548.751,0,0
210604,2106,21,KHM,Char,Prey Kabbas,Takeo,Cambodia,3387.761,2885.462,0.0824277013525044
170101,1701,17,KHM,Char Chhuk,Angkor Chum,Siemreap,Cambodia,5857.823,0,0
30102,301,3,KHM,Chbar Ampov,Batheay,Kampong Cham,Cambodia,4485.698,4355.059,0.182964455820231
121202,1212,12,KHM,Chbar Ampov Ti Pir,Chbar Ampov,Phnom Penh,Cambodia,0.26,0.02,0.05
50201,502,5,KHM,Chbar Mon,Chbar Mon,Kampong Speu,Cambodia,2391.592,130.337,0.0810821178943815
141302,1413,14,KHM,Chea Khlang,Svay Antor,Prey Veng,Cambodia,2735.561,0,0
140201,1402,14,KHM,Cheach,Kamchay Mear,Prey Veng,Cambodia,5495.028,0,0
30103,301,3,KHM,Chealea,Batheay,Kampong Cham,Cambodia,4128.227,3979.9,0.189189175607427
140303,1403,14,KHM,Cheang Daek,Kampong Trabaek,Prey Veng,Cambodia,7737.439,6344.818,0.162162098266648
210902,2109,21,KHM,Cheang Tong,Tram Kak,Takeo,Cambodia,3320.066,645.868,0.0540543888224839
200605,2006,20,KHM,Chek,Svay Rieng,Svay Rieng,Cambodia,2513.439,27.882,0.081306936374722
120515,1205,12,KHM,Cheung Aek,Dangkao,Phnom Penh,Cambodia,441.393,235.711,0.0271306812155563
80105,801,8,KHM,Cheung Kaeub,Kandal Stueng,Kandal,Cambodia,974.583,184.61,0.0540544932560533
180204,1802,18,KHM,Cheung Kou,Prey Nob,Preah Sihanouk,Cambodia,498.007,198.158,0.0540528265323631
40603,406,4,KHM,Cheung Kreav,Rolea B'ier,Kampong Chhnang,Cambodia,3882.511,0,0
210703,2107,21,KHM,Cheung Kuon,Samraong,Takeo,Cambodia,1733.815,719.023,0.0810808555498225
140102,1401,14,KHM,Cheung Phnum,Ba Phnum,Prey Veng,Cambodia,2993.985,2685.216,0.0405207625755247
30104,301,3,KHM,Cheung Prey,Batheay,Kampong Cham,Cambodia,1625.728,0,0
50502,505,5,KHM,Cheung Roas,Odongk,Kampong Speu,Cambodia,3328.285,0,0
220301,2203,22,KHM,Cheung Tien,Chong Kal,Oddar Meanchey,Cambodia,8616.306,0,0
141002,1410,14,KHM,Cheung Tuek,Prey Veng,Prey Veng,Cambodia,1491.876,260.295,0.0540540540540541
60201,602,6,KHM,Chey,Kampong Svay,Kampong Thom,Cambodia,3437.748,157.091,0.0270289195434493
210302,2103,21,KHM,Chey Chouk,Borei Cholsar,Takeo,Cambodia,3722.101,3303.458,0.167412148118729
120208,1202,12,KHM,Chey Chummeah,Doun Penh,Phnom Penh,Cambodia,0,0,0
140904,1409,14,KHM,Chey Kampok,Preah Sdach,Prey Veng,Cambodia,3615.314,718.129,0.135134495334404
160501,1605,16,KHM,Chey Otdam,Lumphat,Ratanak Kiri,Cambodia,6830.988,0,0
80302,803,8,KHM,Chey Thum,Khsach Kandal,Kandal,Cambodia,3220.651,2266.169,0.0270271105111755
30203,302,3,KHM,Cheyyou,Chamkar Leu,Kampong Cham,Cambodia,3914.339,612.235,0.0270272036064583
130201,1302,13,KHM,Chhaeb Muoy,Chhaeb,Preah Vihear,Cambodia,4463.593,228.162,0.027029040769278
130202,1302,13,KHM,Chhaeb Pir,Chhaeb,Preah Vihear,Cambodia,3530.298,473.397,0.0270280546771526
80803,808,8,KHM,Chhak Chheu Neang,Angk Snuol,Kandal,Cambodia,641.474,0,0
121201,1212,12,KHM,Chhbar Ampov Ti Muoy,Chbar Ampov,Phnom Penh,Cambodia,0,0,0
40701,407,4,KHM,Chhean Laeung,Sameakki Mean Chey,Kampong Chhnang,Cambodia,5030.098,0,0
130703,1307,13,KHM,Chhean Mukh,Tbaeng Mean Chey,Preah Vihear,Cambodia,3526.117,447.675,0.0509789467805886
140103,1401,14,KHM,Chheu Kach,Ba Phnum,Prey Veng,Cambodia,3590.879,1321.776,0.0336554756630473
80401,804,8,KHM,Chheu Kmau,Kaoh Thum,Kandal,Cambodia,4730.921,3951.059,0.0812010147152953
20104,201,2,KHM,Chheu Teal,Banan,Battambang,Cambodia,2811.486,35.71,0.0540464855782694
60601,606,6,KHM,Chheu Teal,Sandan,Kampong Thom,Cambodia,5625.258,1803.957,0.0540539491794982
80202,802,8,KHM,Chheu Teal,Kien Svay,Kandal,Cambodia,739.204,596.821,0.0810812622210009
200507,2005,20,KHM,Chheu Teal,Svay Chrum,Svay Rieng,Cambodia,3892.926,0,0
150304,1503,15,KHM,Chheu Tom,Krakor,Pursat,Cambodia,12500.049,1472.662,0.0270272472570081
100101,1001,10,KHM,Chhloung,Chhloung,Kratie,Cambodia,1157.866,40.443,0.113468338154934
21306,213,2,KHM,Chhnal Moan,Koas Krala,Battambang,Cambodia,36109.609,3269.912,0.0963169651048713
40102,401,4,KHM,Chhnok Tru,Baribour,Kampong Chhnang,Cambodia,85.754,37.101,0.0540416700358481
60501,605,6,KHM,Chhuk,Prasat Sambour,Kampong Thom,Cambodia,3433.546,768.743,0.0270428478698343
70304,703,7,KHM,Chhuk,Chhuk,Kampot,Cambodia,2494.074,1042.749,0.0509739160622547
250401,2504,25,KHM,Chhuk,Krouch Chhmar,Tboung Khmum,Cambodia,5742.796,577.986,0.0270266061807725
60107,601,6,KHM,Chhuk Khsach,Baray,Kampong Thom,Cambodia,6168.396,788.358,0.0270270613097095
40502,405,4,KHM,Chhuk Sa,Kampong Tralach,Kampong Chhnang,Cambodia,3739.432,0,0
80901,809,8,KHM,Chhveang,Ponhea Lueu,Kandal,Cambodia,1741.244,177.337,0.216215454191737
31402,314,3,KHM,Chi Bal,Srei Santhor,Kampong Cham,Cambodia,2367.17,713.919,0.027026875597932
90602,906,9,KHM,Chi Kha Kraom,Srae Ambel,Koh Kong,Cambodia,328.369,11.53,0.027059843885516
90603,906,9,KHM,Chi kha Leu,Srae Ambel,Koh Kong,Cambodia,2359.063,518.363,0.0270273920013581
211003,2110,21,KHM,Chi Khma,Treang,Takeo,Cambodia,1852.145,0,0
170402,1704,17,KHM,Chi Kraeng,Chi Kraeng,Siemreap,Cambodia,4005.993,0,0
90705,907,9,KHM,Chi Phat,Thma Bang,Koh Kong,Cambodia,224.667,0,0
140503,1405,14,KHM,Chi Phoch,Me Sang,Prey Veng,Cambodia,6739.087,26.871,0.0810911391462915
40802,408,4,KHM,Chieb,Tuek Phos,Kampong Chhnang,Cambodia,11248.157,0,0
250204,2502,25,KHM,Chikor,Tboung Khmum,Tboung Khmum,Cambodia,4891.829,1048.061,0.0270308693864193
