ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,pop_WPOP20_C2,pop_WPOP20_C1,pop_WPOP20_C0,pop_WPOP20_C2%,pop_WPOP20_C1%,pop_WPOP20_C0%
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,0,0,0,0,0,0,0
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,2526.719,0,0,0,0,0,0
190505,1905,19,KHM,Anlong Chrey,Thala Barivat,Stung Treng,Cambodia,3508.059,0,0,0,0,0,0
190501,1905,19,KHM,Anlong Phe,Thala Barivat,Stung Treng,Cambodia,3737.997,0,0,0,0,0,0
150603,1506,15,KHM,Anlong Reab,Veal Veaeng,Pursat,Cambodia,3703.175,0,2763.53,2763.53,0,0.746259628561977,0.746259628561977
80102,801,8,KHM,Anlong Romiet,Kandal Stueng,Kandal,Cambodia,8258.351,0,0,0,0,0,0
20205,202,2,KHM,Anlong Run,Thma Koul,Battambang,Cambodia,3739.767,0,0,0,0,0,0
170401,1704,17,KHM,Anlong Samnar,Chi Kraeng,Siemreap,Cambodia,14641.217,0,0,0,0,0,0
150301,1503,15,KHM,Anlong Tnaot,Krakor,Pursat,Cambodia,10452.87,0,0,0,0,0,0
220101,2201,22,KHM,Anlong Veaeng,Anlong Veaeng,Oddar Meanchey,Cambodia,122674.672,0,0,0,0,0,0
20801,208,2,KHM,Anlong Vil,Sangkae,Battambang,Cambodia,19249.785,0,0,0,0,0,0
150201,1502,15,KHM,Anlong Vil,Kandieng,Pursat,Cambodia,8147.28,0,0,0,0,0,0
150302,1503,15,KHM,Ansa Chambak,Krakor,Pursat,Cambodia,7737.501,0,1258.359,1258.359,0,0.162631190613093,0.162631190613093
140301,1403,14,KHM,Ansaong,Kampong Trabaek,Prey Veng,Cambodia,5417.289,0,0,0,0,0,0
31501,315,3,KHM,Areaks Tnot,Stueng Trang,Kampong Cham,Cambodia,12687.811,0,0,0,0,0,0
40303,403,4,KHM,B'er,Kampong Chhnang,Kampong Chhnang,Cambodia,6089.078,0,0,0,0,0,0
140701,1407,14,KHM,Ba Baong,Peam Ro,Prey Veng,Cambodia,7163.718,0,0,0,0,0,0
210102,2101,21,KHM,Ba Srae,Angkor Borei,Takeo,Cambodia,9364.596,0,0,0,0,0,0
160505,1605,16,KHM,Ba Tang,Lumphat,Ratanak Kiri,Cambodia,9443.089,0,0,0,0,0,0
80801,808,8,KHM,Baek Chan,Angk Snuol,Kandal,Cambodia,29894.99,0,0,0,0,0,0
220501,2205,22,KHM,Bak Anloung,Trapeang Prasat,Oddar Meanchey,Cambodia,26235.941,0,0,0,0,0,0
150401,1504,15,KHM,Bak Chenhchien,Phnum Kravanh,Pursat,Cambodia,4753.512,0,0,0,0,0,0
80301,803,8,KHM,Bak Dav,Khsach Kandal,Kandal,Cambodia,2190.006,0,0,0,0,0,0
121005,1210,12,KHM,Bak Kaeng,Chraoy Chongvar,Phnom Penh,Cambodia,9975.116,0,0,0,0,0,0
60101,601,6,KHM,Bak Sna,Baray,Kampong Thom,Cambodia,8245.277,0,0,0,0,0,0
170902,1709,17,KHM,Bakong,Prasat Bakong,Siemreap,Cambodia,11023.928,0,0,0,0,0,0
60102,601,6,KHM,Ballangk,Baray,Kampong Thom,Cambodia,19422.504,0,0,0,0,0,0
170903,1709,17,KHM,Ballangk,Prasat Bakong,Siemreap,Cambodia,5475.333,0,0,0,0,0,0
210602,2106,21,KHM,Ban Kam,Prey Kabbas,Takeo,Cambodia,6369.865,0,0,0,0,0,0
70301,703,7,KHM,Baniev,Chhuk,Kampot,Cambodia,5617.045,0,0,0,0,0,0
140702,1407,14,KHM,Banlich Prasat,Peam Ro,Prey Veng,Cambodia,4653.557,0,0,0,0,0,0
220401,2204,22,KHM,Bansay Reak,Samraong,Oddar Meanchey,Cambodia,22394.189,0,0,0,0,0,0
20209,202,2,KHM,Bansay Traeng,Thma Koul,Battambang,Cambodia,6628.509,0,0,0,0,0,0
140902,1409,14,KHM,Banteay Chakrei,Preah Sdach,Prey Veng,Cambodia,15223.441,0,0,0,0,0,0
10701,107,1,KHM,Banteay Chhmar,Thma Puok,Banteay Meanchey,Cambodia,17422.627,0,0,0,0,0,0
80201,802,8,KHM,Banteay Daek,Kien Svay,Kandal,Cambodia,17217.715,0,0,0,0,0,0
150508,1505,15,KHM,Banteay Dei,Pursat,Pursat,Cambodia,3605.222,0,0,0,0,0,0
200201,2002,20,KHM,Banteay Krang,Kampong Rou,Svay Rieng,Cambodia,2784.229,0,0,0,0,0,0
70201,702,7,KHM,Banteay Meas Khang Kaeut,Banteay Meas,Kampot,Cambodia,5742.346,0,0,0,0,0,0
70202,702,7,KHM,Banteay Meas Khang Lech,Banteay Meas,Kampot,Cambodia,5961.308,0,0,0,0,0,0
10201,102,1,KHM,Banteay Neang,Mongkol Borei,Banteay Meanchey,Cambodia,16113.562,0,0,0,0,0,0
40602,406,4,KHM,Banteay Preal,Rolea B'ier,Kampong Chhnang,Cambodia,3697.233,0,0,0,0,0,0
60801,608,6,KHM,Banteay Stoung,Stoung,Kampong Thom,Cambodia,7887.899,0,0,0,0,0,0
160701,1607,16,KHM,Bar Kham,Ou Ya Dav,Ratanak Kiri,Cambodia,3057.915,0,0,0,0,0,0
240104,2401,24,KHM,Bar Yakha,Pailin,Pailin,Cambodia,4464.141,0,1063.069,1063.069,0,0.238135175389845,0.238135175389845
21104,211,2,KHM,Barang Thleak,Phnum Proek,Battambang,Cambodia,41280.59,0,403.134,403.134,0,0.00976570344561451,0.00976570344561451
31301,313,3,KHM,Baray,Prey Chhor,Kampong Cham,Cambodia,9316.27,0,0,0,0,0,0
31401,314,3,KHM,Baray,Srei Santhor,Kampong Cham,Cambodia,6478.799,0,0,0,0,0,0
60103,601,6,KHM,Baray,Baray,Kampong Thom,Cambodia,8046.788,0,0,0,0,0,0
141001,1410,14,KHM,Baray,Prey Veng,Prey Veng,Cambodia,4721.877,0,0,0,0,0,0
210801,2108,21,KHM,Baray,Doun Kaev,Takeo,Cambodia,9961.961,0,0,0,0,0,0
80103,801,8,KHM,Barku,Kandal Stueng,Kandal,Cambodia,5849.036,0,0,0,0,0,0
80602,806,8,KHM,Barong,Lvea Aem,Kandal,Cambodia,2902.869,0,0,0,0,0,0
21405,214,2,KHM,Basak,Rukh Kiri,Battambang,Cambodia,14835.51,0,0,0,0,0,0
200502,2005,20,KHM,Basak,Svay Chrum,Svay Rieng,Cambodia,6445.371,0,0,0,0,0,0
50101,501,5,KHM,Basedth,Basedth,Kampong Speu,Cambodia,8806.316,0,0,0,0,0,0
10202,102,1,KHM,Bat Trang,Mongkol Borei,Banteay Meanchey,Cambodia,6552.112,0,0,0,0,0,0
30101,301,3,KHM,Batheay,Batheay,Kampong Cham,Cambodia,14227.414,1089.383,3156.205,3156.205,0.0765692908071699,0.221839682179769,0.221839682179769
200801,2008,20,KHM,Bati,Bavet,Svay Rieng,Cambodia,7913.65,0,0,0,0,0,0
20401,204,2,KHM,Bavel,Bavel,Battambang,Cambodia,23301.277,0,0,0,0,0,0
200802,2008,20,KHM,Bavet,Bavet,Svay Rieng,Cambodia,15534.258,0,0,0,0,0,0
20103,201,2,KHM,Bay Damram,Banan,Battambang,Cambodia,4819.968,0,0,0,0,0,0
180103,1801,18,KHM,Bei,Preah Sihanouk,Preah Sihanouk,Cambodia,28341.449,0,7035.928,7035.928,0,0.248255761376209,0.248255761376209
220202,2202,22,KHM,Beng,Banteay Ampil,Oddar Meanchey,Cambodia,26309.094,0,0,0,0,0,0
180203,1802,18,KHM,Bet Trang,Prey Nob,Preah Sihanouk,Cambodia,4586.892,277.464,1839.332,1839.332,0.060490632872978,0.40099745099732,0.40099745099732
60104,601,6,KHM,Boeng,Baray,Kampong Thom,Cambodia,6103.086,0,0,0,0,0,0
150101,1501,15,KHM,Boeng Bat Kandaol,Bakan,Pursat,Cambodia,9359.505,0,0,0,0,0,0
10901,109,1,KHM,Boeng Beng,Malai,Banteay Meanchey,Cambodia,9018.357,0,0,0,0,0,0
100401,1004,10,KHM,Boeng Char,Sambour,Kratie,Cambodia,579.682,0,0,0,0,0,0
140903,1409,14,KHM,Boeng Daol,Preah Sdach,Prey Veng,Cambodia,9246.574,0,0,0,0,0,0
120407,1204,12,KHM,Boeng Kak Ti Muoy,Tuol Kouk,Phnom Penh,Cambodia,20641.551,0,0,0,0,0,0
120408,1204,12,KHM,Boeng Kak Ti Pir,Tuol Kouk,Phnom Penh,Cambodia,25850.922,0,0,0,0,0,0
160204,1602,16,KHM,Boeng Kansaeng,Ban Lung,Ratanak Kiri,Cambodia,16229.047,0,591.912,591.912,0,0.0364723818964847,0.0364723818964847
150303,1503,15,KHM,Boeng Kantuot,Krakor,Pursat,Cambodia,6571.726,0,0,0,0,0,0
121303,1213,12,KHM,Boeng Keng Kang Ti Bei,Boeng Keng Kang,Phnom Penh,Cambodia,25020.539,0,0,0,0,0,0
121301,1213,12,KHM,Boeng Keng Kang Ti Muoy,Boeng Keng Kang,Phnom Penh,Cambodia,23313.572,0,0,0,0,0,0
121302,1213,12,KHM,Boeng Keng Kang Ti Pir,Boeng Keng Kang,Phnom Penh,Cambodia,10760.353,0,0,0,0,0,0
150102,1501,15,KHM,Boeng Khnar,Bakan,Pursat,Cambodia,8619.419,0,0,0,0,0,0
80104,801,8,KHM,Boeng Khyang,Kandal Stueng,Kandal,Cambodia,8470.58,0,0,0,0,0,0
30501,305,3,KHM,Boeng Kok,Kampong Cham,Kampong Cham,Cambodia,11477.155,0,0,0,0,0,0
80603,806,8,KHM,Boeng Krum,Lvea Aem,Kandal,Cambodia,3653.912,0,0,0,0,0,0
60701,607,6,KHM,Boeng Lvea,Santuk,Kampong Thom,Cambodia,24061.699,0,0,0,0,0,0
171301,1713,17,KHM,Boeng Mealea,Svay Leu,Siemreap,Cambodia,11971.758,0,0,0,0,0,0
31302,313,3,KHM,Boeng Nay,Prey Chhor,Kampong Cham,Cambodia,10689.31,0,0,0,0,0,0
70303,703,7,KHM,Boeng Nimol,Chhuk,Kampot,Cambodia,3914.975,0,0,0,0,0,0
140101,1401,14,KHM,Boeng Preah,Ba Phnum,Prey Veng,Cambodia,10754.411,0,0,0,0,0,0
90601,906,9,KHM,Boeng Preav,Srae Ambel,Koh Kong,Cambodia,3387.083,0,884.039,884.039,0,0.261003051888601,0.261003051888601
20207,202,2,KHM,Boeng Pring,Thma Koul,Battambang,Cambodia,9697.045,0,0,0,0,0,0
120308,1203,12,KHM,Boeng Proluet,Prampir Meakkakra,Phnom Penh,Cambodia,28682.354,0,0,0,0,0,0
250202,2502,25,KHM,Boeng Pruol,Tboung Khmum,Tboung Khmum,Cambodia,5057.533,0,0,0,0,0,0
21202,212,2,KHM,Boeng Reang,Kamrieng,Battambang,Cambodia,48610.172,0,0,0,0,0,0
120204,1202,12,KHM,Boeng Reang,Doun Penh,Phnom Penh,Cambodia,33199.809,0,0,0,0,0,0
70601,706,7,KHM,Boeng Sala Khang Cheung,Kampong Trach,Kampot,Cambodia,6249.697,0,0,0,0,0,0
70602,706,7,KHM,Boeng Sala Khang Tboung,Kampong Trach,Kampot,Cambodia,6935.103,0,0,0,0,0,0
120410,1204,12,KHM,Boeng Salang,Tuol Kouk,Phnom Penh,Cambodia,36888.875,0,0,0,0,0,0
180202,1802,18,KHM,Boeng Ta Prum,Prey Nob,Preah Sihanouk,Cambodia,5550.987,0,0,0,0,0,0
121406,1214,12,KHM,Boeng Thum,Kamboul,Phnom Penh,Cambodia,8729.643,0,0,0,0,0,0
120111,1201,12,KHM,Boeng Trabaek,Chamkar Mon,Phnom Penh,Cambodia,15481.76,0,0,0,0,0,0
210701,2107,21,KHM,Boeng Tranh Khang Cheung,Samraong,Takeo,Cambodia,9890.629,0,0,0,0,0,0
210702,2107,21,KHM,Boeng Tranh Khang Tboung,Samraong,Takeo,Cambodia,11453.822,0,0,0,0,0,0
70701,707,7,KHM,Boeng Tuk,Tuek Chhou,Kampot,Cambodia,5711.173,0,38.791,38.791,0,0.00679212484020358,0.00679212484020358
120605,1206,12,KHM,Boeng Tumpun Ti 2,Mean Chey,Phnom Penh,Cambodia,55443.898,0,0,0,0,0,0
20408,204,2,KHM,Boeung Pram,Bavel,Battambang,Cambodia,0,0,0,0,0,0,0
210301,2103,21,KHM,Borei Cholsar,Borei Cholsar,Takeo,Cambodia,3548.522,0,0,0,0,0,0
30201,302,3,KHM,Bos Khnor,Chamkar Leu,Kampong Cham,Cambodia,15361.533,0,0,0,0,0,0
100601,1006,10,KHM,Bos Leav,Chetr Borei,Kratie,Cambodia,6382.778,0,0,0,0,0,0
200301,2003,20,KHM,Bos Mon,Rumduol,Svay Rieng,Cambodia,3980.654,0,0,0,0,0,0
10409,104,1,KHM,Bos Sbov,Preah Netr Preah,Banteay Meanchey,Cambodia,8697.952,0,0,0,0,0,0
220402,2204,22,KHM,Bos Sbov,Samraong,Oddar Meanchey,Cambodia,3861.846,0,0,0,0,0,0
21103,211,2,KHM,Bour,Phnum Proek,Battambang,Cambodia,103128.844,28833.386,30546.053,30546.053,0.279586048690704,0.29619310965999,0.29619310965999
110404,1104,11,KHM,Bu Sra,Pech Chreada,Mondul Kiri,Cambodia,6586.417,0,0,0,0,0,0
180104,1801,18,KHM,Buon,Preah Sihanouk,Preah Sihanouk,Cambodia,47159.316,0,9028.43,9028.43,0,0.19144531273524,0.19144531273524
160601,1606,16,KHM,Cha Ung,Ou Chum,Ratanak Kiri,Cambodia,2793.655,0,0,0,0,0,0
20105,201,2,KHM,Chaeng Mean Chey,Banan,Battambang,Cambodia,13643.718,0,0,0,0,0,0
60105,601,6,KHM,Chaeung Daeung,Baray,Kampong Thom,Cambodia,9854.832,0,0,0,0,0,0
40103,401,4,KHM,Chak,Baribour,Kampong Chhnang,Cambodia,2826.19,0,0,0,0,0,0
250302,2503,25,KHM,Chak,Ou Reang Ov,Tboung Khmum,Cambodia,9920.584,0,0,0,0,0,0
120607,1206,12,KHM,Chak Angrae Kraom,Mean Chey,Phnom Penh,Cambodia,30488.602,0,0,0,0,0,0
120606,1206,12,KHM,Chak Angrae Leu,Mean Chey,Phnom Penh,Cambodia,39108.984,0,0,0,0,0,0
120207,1202,12,KHM,Chakto Mukh,Doun Penh,Phnom Penh,Cambodia,19624.299,0,0,0,0,0,0
140302,1403,14,KHM,Cham,Kampong Trabaek,Prey Veng,Cambodia,10485.011,0,0,0,0,0,0
100301,1003,10,KHM,0,Prek Prasab,Kratie,Cambodia,6645.264,0,0,0,0,0,0
50601,506,5,KHM,Chambak,Phnum Sruoch,Kampong Speu,Cambodia,3149.089,0,0,0,0,0,0
200503,2005,20,KHM,Chambak,Svay Chrum,Svay Rieng,Cambodia,9727.849,0,0,0,0,0,0
210201,2102,21,KHM,Chambak,Bati,Takeo,Cambodia,12370.056,0,0,0,0,0,0
30202,302,3,KHM,Chamkar Andoung,Chamkar Leu,Kampong Cham,Cambodia,11931.311,0,0,0,0,0,0
190502,1905,19,KHM,Chamkar Leu,Thala Barivat,Stung Treng,Cambodia,2326.053,0,0,0,0,0,0
180401,1804,18,KHM,Chamkar Luong,Kampong Seila,Preah Sihanouk,Cambodia,4320.498,0,0,0,0,0,0
60802,608,6,KHM,Chamna Kraom,Stoung,Kampong Thom,Cambodia,11360.867,0,0,0,0,0,0
60803,608,6,KHM,Chamna Leu,Stoung,Kampong Thom,Cambodia,7400.686,0,0,0,0,0,0
10203,102,1,KHM,Chamnaom,Mongkol Borei,Banteay Meanchey,Cambodia,15626.971,0,0,0,0,0,0
210603,2106,21,KHM,Champa,Prey Kabbas,Takeo,Cambodia,8291.41,0,0,0,0,0,0
70103,701,7,KHM,Champei,Angkor Chey,Kampot,Cambodia,9171.59,0,0,0,0,0,0
210202,2102,21,KHM,Champei,Bati,Takeo,Cambodia,6140.485,0,0,0,0,0,0
130601,1306,13,KHM,Chamraeun,Sangkum Thmei,Preah Vihear,Cambodia,5819.505,0,0,0,0,0,0
150501,1505,15,KHM,Chamraeun Phal,Pursat,Pursat,Cambodia,7343.136,0,0,0,0,0,0
250701,2507,25,KHM,Chan Mul,Memot,Tboung Khmum,Cambodia,5149.609,0,0,0,0,0,0
171101,1711,17,KHM,Chan Sa,Soutr Nikom,Siemreap,Cambodia,7135.805,0,0,0,0,0,0
50501,505,5,KHM,Chan Saen,Odongk,Kampong Speu,Cambodia,6816.042,0,0,0,0,0,0
10501,105,1,KHM,Changha,Ou Chrov,Banteay Meanchey,Cambodia,4233.63,0,0,0,0,0,0
100602,1006,10,KHM,Changkrang,Chetr Borei,Kratie,Cambodia,7880.709,0,0,0,0,0,0
170601,1706,17,KHM,Chanleas Dai,Kralanh,Siemreap,Cambodia,6573.507,0,0,0,0,0,0
200103,2001,20,KHM,Chantrea,Chantrea,Svay Rieng,Cambodia,4248.772,0,0,0,0,0,0
200405,2004,20,KHM,Chantrei,Romeas Haek,Svay Rieng,Cambodia,9570.012,0,0,0,0,0,0
120905,1209,12,KHM,Chaom Chau Ti 1,Pur SenChey,Phnom Penh,Cambodia,160502.625,0,0,0,0,0,0
40803,408,4,KHM,Chaong Maong,Tuek Phos,Kampong Chhnang,Cambodia,5946.416,0,28.805,28.805,0,0.00484409432505227,0.00484409432505227
210604,2106,21,KHM,Char,Prey Kabbas,Takeo,Cambodia,8897.795,0,0,0,0,0,0
170101,1701,17,KHM,Char Chhuk,Angkor Chum,Siemreap,Cambodia,4309.405,0,0,0,0,0,0
30102,301,3,KHM,Chbar Ampov,Batheay,Kampong Cham,Cambodia,5239.972,0,0,0,0,0,0
121202,1212,12,KHM,Chbar Ampov Ti Pir,Chbar Ampov,Phnom Penh,Cambodia,15973.949,0,0,0,0,0,0
50201,502,5,KHM,Chbar Mon,Chbar Mon,Kampong Speu,Cambodia,6264.614,0,0,0,0,0,0
141302,1413,14,KHM,Chea Khlang,Svay Antor,Prey Veng,Cambodia,6847.36,0,0,0,0,0,0
140201,1402,14,KHM,Cheach,Kamchay Mear,Prey Veng,Cambodia,14279.046,0,0,0,0,0,0
30103,301,3,KHM,Chealea,Batheay,Kampong Cham,Cambodia,5770.646,0,1696.519,1696.519,0,0.293991175338082,0.293991175338082
140303,1403,14,KHM,Cheang Daek,Kampong Trabaek,Prey Veng,Cambodia,8718.966,0,0,0,0,0,0
210902,2109,21,KHM,Cheang Tong,Tram Kak,Takeo,Cambodia,6576.456,0,0,0,0,0,0
200605,2006,20,KHM,Chek,Svay Rieng,Svay Rieng,Cambodia,6683.888,0,0,0,0,0,0
120515,1205,12,KHM,Cheung Aek,Dangkao,Phnom Penh,Cambodia,10159.794,0,0,0,0,0,0
80105,801,8,KHM,Cheung Kaeub,Kandal Stueng,Kandal,Cambodia,5810.619,0,0,0,0,0,0
180204,1802,18,KHM,Cheung Kou,Prey Nob,Preah Sihanouk,Cambodia,4227.252,0,0,0,0,0,0
40603,406,4,KHM,Cheung Kreav,Rolea B'ier,Kampong Chhnang,Cambodia,5320.29,0,0,0,0,0,0
210703,2107,21,KHM,Cheung Kuon,Samraong,Takeo,Cambodia,8801.627,0,0,0,0,0,0
140102,1401,14,KHM,Cheung Phnum,Ba Phnum,Prey Veng,Cambodia,7318.822,0,389.733,389.733,0,0.0532507827079276,0.0532507827079276
30104,301,3,KHM,Cheung Prey,Batheay,Kampong Cham,Cambodia,7288.356,0,0,0,0,0,0
50502,505,5,KHM,Cheung Roas,Odongk,Kampong Speu,Cambodia,6813.815,0,5.284,5.284,0,0.000775483337895144,0.000775483337895144
220301,2203,22,KHM,Cheung Tien,Chong Kal,Oddar Meanchey,Cambodia,6383.615,0,0,0,0,0,0
141002,1410,14,KHM,Cheung Tuek,Prey Veng,Prey Veng,Cambodia,2969.804,0,0,0,0,0,0
60201,602,6,KHM,Chey,Kampong Svay,Kampong Thom,Cambodia,3457.318,0,0,0,0,0,0
210302,2103,21,KHM,Chey Chouk,Borei Cholsar,Takeo,Cambodia,2667.994,0,0,0,0,0,0
120208,1202,12,KHM,Chey Chummeah,Doun Penh,Phnom Penh,Cambodia,17335.295,0,0,0,0,0,0
140904,1409,14,KHM,Chey Kampok,Preah Sdach,Prey Veng,Cambodia,7623.219,0,0,0,0,0,0
160501,1605,16,KHM,Chey Otdam,Lumphat,Ratanak Kiri,Cambodia,3848.708,0,0,0,0,0,0
80302,803,8,KHM,Chey Thum,Khsach Kandal,Kandal,Cambodia,4030.775,0,0,0,0,0,0
30203,302,3,KHM,Cheyyou,Chamkar Leu,Kampong Cham,Cambodia,11470.359,0,0,0,0,0,0
130201,1302,13,KHM,Chhaeb Muoy,Chhaeb,Preah Vihear,Cambodia,3698.489,0,0,0,0,0,0
130202,1302,13,KHM,Chhaeb Pir,Chhaeb,Preah Vihear,Cambodia,4017.601,0,0,0,0,0,0
80803,808,8,KHM,Chhak Chheu Neang,Angk Snuol,Kandal,Cambodia,4829.876,0,0,0,0,0,0
121201,1212,12,KHM,Chhbar Ampov Ti Muoy,Chbar Ampov,Phnom Penh,Cambodia,10031.782,0,0,0,0,0,0
40701,407,4,KHM,Chhean Laeung,Sameakki Mean Chey,Kampong Chhnang,Cambodia,5359.023,0,0,0,0,0,0
130703,1307,13,KHM,Chhean Mukh,Tbaeng Mean Chey,Preah Vihear,Cambodia,3024.31,0,3024.31,3024.31,0,1,1
140103,1401,14,KHM,Chheu Kach,Ba Phnum,Prey Veng,Cambodia,7912.292,0,0,0,0,0,0
80401,804,8,KHM,Chheu Kmau,Kaoh Thum,Kandal,Cambodia,12728.97,0,0,0,0,0,0
20104,201,2,KHM,Chheu Teal,Banan,Battambang,Cambodia,9985.355,0,121.896,121.896,0,0.0122074778513132,0.0122074778513132
60601,606,6,KHM,Chheu Teal,Sandan,Kampong Thom,Cambodia,11523.309,0,0,0,0,0,0
