ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_agri_ESA20_agri,agri_ESA20_agri_exp,agri_ESA20_agri_freq
110202,1102,11,KHM,A Buon Leu,Kaoh Nheaek,Mondul Kiri,Cambodia,646.07,172.488,0.0810839014887992
60309,603,6,KHM,Achar Leak,Stueng Saen,Kampong Thom,Cambodia,457.728,403.559,0.027027027027027
160603,1606,16,KHM,Aekakpheap,Ou Chum,Ratanak Kiri,Cambodia,75.957,0,0
40801,408,4,KHM,Akphivoadth,Tuek Phos,Kampong Chhnang,Cambodia,6874.351,6686.099,0.0286847382905937
80601,806,8,KHM,Akreiy Ksatr,Lvea Aem,Kandal,Cambodia,349.116,319.245,0.0724396623283058
50801,508,5,KHM,Amleang,Thpong,Kampong Speu,Cambodia,20615.807,6946.381,0.0754876532110749
30601,306,3,KHM,Ampil,Kampong Siem,Kampong Cham,Cambodia,2100.607,2008.085,0.0540539867585286
171011,1710,17,KHM,Ampil,Siem Reap,Siemreap,Cambodia,4429.484,4347.002,0.0273657569055639
200401,2004,20,KHM,Ampil,Romeas Haek,Svay Rieng,Cambodia,4065.797,3976.721,0.0810811218589386
220201,2202,22,KHM,Ampil,Banteay Ampil,Oddar Meanchey,Cambodia,35721.801,34013.68,0.0306970019121718
141201,1412,14,KHM,Ampil Krau,Sithor Kandal,Prey Veng,Cambodia,4026.933,3847.984,0.235426914457025
20405,204,2,KHM,Ampil Pram Daeum,Bavel,Battambang,Cambodia,19386.541,17822.861,0.0851220800072446
250301,2503,25,KHM,Ampil Ta Pok,Ou Reang Ov,Tboung Khmum,Cambodia,2779.109,2673.321,0.16216234414049
40501,405,4,KHM,Ampil Tuek,Kampong Tralach,Kampong Chhnang,Cambodia,9215.521,5891.205,0.0831028626571304
80101,801,8,KHM,Ampov Prey,Kandal Stueng,Kandal,Cambodia,1139.326,1004.848,0.0540539464675254
20702,207,2,KHM,Andaeuk Haeb,Rotonak Mondol,Battambang,Cambodia,7701.315,5695.105,0.238757318785167
70804,708,7,KHM,Andoung Khmer,Kampot,Kampot,Cambodia,278.931,159.926,0.0535372609832047
