ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_exp,RP10_pop_WPOP20_exp,RP20_pop_WPOP20_exp,RP50_pop_WPOP20_exp,RP75_pop_WPOP20_exp,RP100_pop_WPOP20_exp,RP200_pop_WPOP20_exp,RP250_pop_WPOP20_exp,RP500_pop_WPOP20_exp,RP1000_pop_WPOP20_exp,RP5_pop_WPOP20_imp,RP10_pop_WPOP20_imp,RP20_pop_WPOP20_imp,RP50_pop_WPOP20_imp,RP75_pop_WPOP20_imp,RP100_pop_WPOP20_imp,RP200_pop_WPOP20_imp,RP250_pop_WPOP20_imp,RP500_pop_WPOP20_imp,RP1000_pop_WPOP20_imp,RP5_EAI,RP10_EAI,RP20_EAI,RP50_EAI,RP75_EAI,RP100_EAI,RP200_EAI,RP250_EAI,RP500_EAI,RP1000_EAI,pop_WPOP20_EAI,pop_WPOP20_EAI%
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,7297.672,307.547,528.933,2027.518,2881.836,3608.504,3838.483,4348.089,4425.735,4769.103,5342.801,2.53,9.971,34.07,82.399,118.102,153.788,245.389,274.658,370.218,485.707,0.506,0.997,1.704,2.472,0.787,0.513,1.227,0.275,0.74,0.486,9.706,0.133
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,10530.777,0.0,0.0,0.0,0.0,0.0,0.0,1025.699,1151.354,1746.95,2756.567,0.0,0.0,0.0,0.0,0.0,0.0,3.133,3.773,7.98,25.393,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.004,0.016,0.025,0.061,0.001
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,10313.353,16.575,206.231,218.723,256.439,3598.472,5226.455,7120.863,7566.76,8537.891,9106.882,0.032,0.447,0.548,0.756,9.641,15.756,29.202,33.562,47.378,63.89,0.006,0.045,0.027,0.023,0.064,0.053,0.146,0.034,0.095,0.064,0.556,0.005
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,7394.276,0.0,0.0,114.9,358.353,358.353,358.353,358.353,358.353,358.353,947.317,0.0,0.0,0.226,0.799,0.855,0.891,0.969,0.992,1.061,2.269,0.0,0.0,0.011,0.024,0.006,0.003,0.005,0.001,0.002,0.002,0.054,0.001
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,6486.06,0.0,101.184,199.874,199.874,199.874,199.874,199.874,294.268,400.494,1453.505,0.0,0.194,0.411,0.448,0.464,0.474,0.498,0.686,0.928,3.023,0.0,0.019,0.021,0.013,0.003,0.002,0.002,0.001,0.002,0.003,0.066,0.001
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,13216.03,0.0,1864.313,2690.606,3538.535,4222.49,4647.767,5407.63,5485.564,5760.799,6105.064,0.0,4.903,7.474,10.298,12.367,13.74,16.5,17.027,18.649,20.373,0.0,0.49,0.374,0.309,0.082,0.046,0.083,0.017,0.037,0.02,1.458,0.011
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,2526.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190505,1905,19,KHM,Anlong Chrey,Thala Barivat,Stung Treng,Cambodia,3508.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190501,1905,19,KHM,Anlong Phe,Thala Barivat,Stung Treng,Cambodia,3737.997,753.115,2227.418,2227.418,2227.418,2227.418,2227.418,2227.418,2227.418,2227.418,2227.418,1.733,8.286,10.032,12.75,14.05,15.015,19.159,20.031,22.979,26.296,0.347,0.829,0.502,0.383,0.094,0.05,0.096,0.02,0.046,0.026,2.391,0.064
150603,1506,15,KHM,Anlong Reab,Veal Veaeng,Pursat,Cambodia,3703.175,1003.634,1176.062,1176.062,1176.062,1176.062,1176.062,1176.062,1176.062,1351.155,1351.155,9.726,17.216,25.222,42.052,53.439,63.747,98.136,113.159,177.745,272.812,1.945,1.722,1.261,1.262,0.356,0.212,0.491,0.113,0.355,0.273,7.99,0.216
80102,801,8,KHM,Anlong Romiet,Kandal Stueng,Kandal,Cambodia,8258.351,3531.411,5018.128,5821.556,6846.914,7275.429,7287.193,7458.377,7478.664,7504.953,7545.848,9.21,14.921,25.285,41.508,48.846,54.041,67.663,72.453,89.454,110.757,1.842,1.492,1.264,1.245,0.326,0.18,0.338,0.072,0.179,0.111,7.05,0.085
20205,202,2,KHM,Anlong Run,Thma Koul,Battambang,Cambodia,3739.767,0.0,828.535,828.535,2254.228,2254.228,2254.228,2254.228,3739.767,3739.767,3739.767,0.0,1.641,1.875,4.968,5.131,5.24,5.488,8.403,8.738,9.055,0.0,0.164,0.094,0.149,0.034,0.017,0.027,0.008,0.017,0.009,0.521,0.014
170401,1704,17,KHM,Anlong Samnar,Chi Kraeng,Siemreap,Cambodia,14641.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150301,1503,15,KHM,Anlong Tnaot,Krakor,Pursat,Cambodia,10452.87,132.827,618.795,1745.778,2606.695,2956.888,3102.523,3496.92,3549.961,3712.783,4099.268,0.256,1.206,3.411,5.166,5.893,6.215,7.084,7.227,7.673,8.557,0.051,0.121,0.171,0.155,0.039,0.021,0.035,0.007,0.015,0.009,0.624,0.006
220101,2201,22,KHM,Anlong Veaeng,Anlong Veaeng,Oddar Meanchey,Cambodia,122674.672,0.0,5890.72,6644.59,9840.709,11269.65,11614.742,13932.384,13932.384,14749.957,16233.017,0.0,25.552,32.017,56.957,70.873,80.235,109.774,119.609,155.337,197.725,0.0,2.555,1.601,1.709,0.472,0.267,0.549,0.12,0.311,0.198,7.782,0.006
20801,208,2,KHM,Anlong Vil,Sangkae,Battambang,Cambodia,19249.785,1304.541,4362.712,8421.149,9728.938,9801.806,9913.202,11075.716,12227.248,14076.821,15478.863,2.542,8.989,20.14,39.782,58.668,69.837,95.923,105.812,136.635,173.759,0.508,0.899,1.007,1.193,0.391,0.233,0.48,0.106,0.273,0.174,5.264,0.027
150201,1502,15,KHM,Anlong Vil,Kandieng,Pursat,Cambodia,8147.28,0.0,36.86,744.45,2083.039,2265.967,2670.235,3095.917,3160.489,3558.896,4185.091,0.0,0.073,1.775,7.56,9.401,11.246,15.794,16.972,21.734,29.142,0.0,0.007,0.089,0.227,0.063,0.037,0.079,0.017,0.043,0.029,0.592,0.007
150302,1503,15,KHM,Ansa Chambak,Krakor,Pursat,Cambodia,7737.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140301,1403,14,KHM,Ansaong,Kampong Trabaek,Prey Veng,Cambodia,5417.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31501,315,3,KHM,Areaks Tnot,Stueng Trang,Kampong Cham,Cambodia,12687.811,1866.767,1866.767,2234.097,2234.097,2234.097,2234.097,2234.097,2234.097,2234.097,2234.097,1326.694,1357.457,1390.398,1428.606,1443.875,1455.358,1482.077,1490.855,1518.896,1554.488,265.339,135.746,69.52,42.858,9.626,4.851,7.41,1.491,3.038,1.554,541.433,4.267
40303,403,4,KHM,B'er,Kampong Chhnang,Kampong Chhnang,Cambodia,6089.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140701,1407,14,KHM,Ba Baong,Peam Ro,Prey Veng,Cambodia,7163.718,0.0,0.0,0.0,214.518,234.236,340.41,669.193,950.463,1886.611,2584.053,0.0,0.0,0.0,0.696,1.281,1.941,4.242,5.523,10.678,18.307,0.0,0.0,0.0,0.021,0.009,0.006,0.021,0.006,0.021,0.018,0.102,0.001
210102,2101,21,KHM,Ba Srae,Angkor Borei,Takeo,Cambodia,9364.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.74,305.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726,2.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.004,0.0
160505,1605,16,KHM,Ba Tang,Lumphat,Ratanak Kiri,Cambodia,9443.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0
80801,808,8,KHM,Baek Chan,Angk Snuol,Kandal,Cambodia,29894.99,0.0,0.0,0.0,37.882,56.354,92.346,279.847,314.828,494.923,810.898,0.0,0.0,0.0,0.075,0.121,0.197,0.623,0.73,1.19,1.973,0.0,0.0,0.0,0.002,0.001,0.001,0.003,0.001,0.002,0.002,0.012,0.0
220501,2205,22,KHM,Bak Anloung,Trapeang Prasat,Oddar Meanchey,Cambodia,26235.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150401,1504,15,KHM,Bak Chenhchien,Phnum Kravanh,Pursat,Cambodia,4753.512,366.548,708.072,1348.676,2962.05,3082.414,3225.989,3379.758,3459.955,3829.03,4020.434,7.428,24.703,51.782,92.707,110.312,122.693,156.148,168.656,216.253,278.275,1.486,2.47,2.589,2.781,0.735,0.409,0.781,0.169,0.433,0.278,12.131,0.255
80301,803,8,KHM,Bak Dav,Khsach Kandal,Kandal,Cambodia,2190.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
