ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP5_builtup_WSF19_exp,RP10_builtup_WSF19_exp,RP20_builtup_WSF19_exp,RP50_builtup_WSF19_exp,RP75_builtup_WSF19_exp,RP100_builtup_WSF19_exp,RP200_builtup_WSF19_exp,RP250_builtup_WSF19_exp,RP500_builtup_WSF19_exp,RP1000_builtup_WSF19_exp,RP5_builtup_WSF19_imp,RP10_builtup_WSF19_imp,RP20_builtup_WSF19_imp,RP50_builtup_WSF19_imp,RP75_builtup_WSF19_imp,RP100_builtup_WSF19_imp,RP200_builtup_WSF19_imp,RP250_builtup_WSF19_imp,RP500_builtup_WSF19_imp,RP1000_builtup_WSF19_imp,RP5_EAI,RP10_EAI,RP20_EAI,RP50_EAI,RP75_EAI,RP100_EAI,RP200_EAI,RP250_EAI,RP500_EAI,RP1000_EAI,builtup_WSF19_EAI,builtup_WSF19_EAI%
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,34.849,0.0,0.001,0.033,0.063,0.136,0.136,0.969,1.131,4.223,8.914,0.0,0.0,0.002,0.007,0.012,0.015,0.059,0.076,0.993,2.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.005,0.014
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,33.757,0.046,0.058,0.128,0.151,0.151,0.151,0.181,0.181,0.338,0.566,0.005,0.013,0.024,0.036,0.041,0.044,0.051,0.054,0.067,0.102,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.016
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,35.175,0.877,1.615,1.925,2.422,2.675,3.175,4.55,4.582,5.149,5.363,0.049,0.159,0.291,0.527,0.614,0.689,0.977,1.048,1.254,1.443,0.01,0.016,0.015,0.016,0.004,0.002,0.005,0.001,0.003,0.001,0.072,0.206
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,19.124,0.0,0.0,1.464,2.828,3.474,3.897,4.515,4.656,5.78,7.229,0.0,0.0,0.065,0.196,0.261,0.307,0.407,0.438,0.581,0.795,0.0,0.0,0.003,0.006,0.002,0.001,0.002,0.0,0.001,0.001,0.016,0.085
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,35.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,21.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,108.432,0.0,0.974,1.342,3.471,4.558,5.137,6.03,6.059,6.073,6.686,0.0,0.037,0.069,0.15,0.195,0.223,0.279,0.291,0.326,0.376,0.0,0.004,0.003,0.004,0.001,0.001,0.001,0.0,0.001,0.0,0.016,0.015
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,53.291,0.093,0.093,0.103,0.218,0.218,1.34,1.709,1.98,2.709,3.09,0.023,0.028,0.032,0.044,0.048,0.088,0.18,0.209,0.3,0.676,0.005,0.003,0.002,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.013,0.025
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,43.442,0.065,0.186,0.198,0.32,0.32,0.329,0.448,0.601,0.63,0.738,0.002,0.01,0.017,0.029,0.033,0.036,0.048,0.056,0.071,0.089,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,19.437,0.21,1.441,2.416,3.222,3.296,3.423,3.85,3.85,4.021,4.225,0.01,0.067,0.129,0.202,0.228,0.248,0.298,0.31,0.352,0.395,0.002,0.007,0.006,0.006,0.002,0.001,0.001,0.0,0.001,0.0,0.027,0.137
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,141.934,25.34,36.862,49.887,63.325,65.658,67.857,71.113,71.928,78.376,82.661,1.493,2.742,4.076,5.745,6.416,6.921,8.054,8.398,9.628,10.832,0.299,0.274,0.204,0.172,0.043,0.023,0.04,0.008,0.019,0.011,1.094,0.77
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,21.498,0.0,0.046,0.105,0.154,0.211,0.211,0.531,0.602,0.8,1.536,0.0,0.003,0.009,0.019,0.024,0.028,0.047,0.055,0.085,0.14,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,52.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,44.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,25.362,0.641,0.97,1.907,3.125,3.319,3.705,5.083,5.259,5.676,6.858,0.046,0.079,0.154,0.351,0.441,0.498,0.662,0.706,0.827,0.972,0.009,0.008,0.008,0.011,0.003,0.002,0.003,0.001,0.002,0.001,0.047,0.183
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,18.272,0.0,0.0,0.0,16.482,16.633,16.633,16.633,16.633,16.633,16.633,0.0,0.0,0.0,4.052,6.269,7.292,8.968,9.357,10.29,11.071,0.0,0.0,0.0,0.122,0.042,0.024,0.045,0.009,0.021,0.011,0.274,1.497
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,35.75,1.939,2.132,2.341,2.589,2.797,2.8,2.8,2.935,2.97,2.97,0.156,0.226,0.32,0.412,0.452,0.477,0.534,0.556,0.612,0.666,0.031,0.023,0.016,0.012,0.003,0.002,0.003,0.001,0.001,0.001,0.092,0.257
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,59.864,3.602,6.337,8.346,12.772,14.535,16.138,23.059,24.492,28.216,31.273,1.057,2.731,4.266,6.055,6.93,7.855,10.085,10.674,12.459,14.063,0.211,0.273,0.213,0.182,0.046,0.026,0.05,0.011,0.025,0.014,1.052,1.757
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,84.102,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.257,0.504,6.959,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.091,1.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,67.31,0.0,0.0,0.0,0.06,9.461,17.324,37.496,45.107,51.129,55.062,0.0,0.0,0.0,0.002,1.14,2.303,8.211,9.989,14.233,18.353,0.0,0.0,0.0,0.0,0.008,0.008,0.041,0.01,0.028,0.018,0.113,0.168
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,47.214,0.0,1.129,2.91,7.38,8.785,10.172,13.298,13.518,15.654,19.627,0.0,0.053,0.213,0.61,0.8,0.949,1.31,1.406,1.748,2.168,0.0,0.005,0.011,0.018,0.005,0.003,0.007,0.001,0.003,0.002,0.056,0.119
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,63.927,0.305,2.21,4.197,5.884,6.457,6.688,7.461,7.869,9.403,12.344,0.017,0.11,0.26,0.468,0.549,0.603,0.729,0.774,0.928,1.175,0.003,0.011,0.013,0.014,0.004,0.002,0.004,0.001,0.002,0.001,0.055,0.085
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,90.896,1.508,3.982,7.153,9.978,11.687,12.63,15.526,16.009,17.269,18.362,0.132,0.484,0.816,1.305,1.69,1.919,2.568,2.727,3.176,3.541,0.026,0.048,0.041,0.039,0.011,0.006,0.013,0.003,0.006,0.004,0.198,0.218
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,10.468,2.101,2.239,2.645,3.535,3.684,3.751,4.612,4.788,5.705,6.48,0.151,0.267,0.381,0.609,0.704,0.793,1.006,1.089,1.354,1.643,0.03,0.027,0.019,0.018,0.005,0.003,0.005,0.001,0.003,0.002,0.112,1.071
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,25.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190505,1905,19,KHM,Anlong Chrey,Thala Barivat,Stung Treng,Cambodia,49.729,0.071,0.262,0.945,1.76,1.855,1.855,2.119,2.166,2.185,2.728,0.015,0.044,0.165,0.427,0.479,0.506,0.594,0.622,0.702,0.817,0.003,0.004,0.008,0.013,0.003,0.002,0.003,0.001,0.001,0.001,0.039,0.079
190501,1905,19,KHM,Anlong Phe,Thala Barivat,Stung Treng,Cambodia,8.727,1.413,2.254,2.495,2.632,2.682,2.682,2.807,2.807,3.201,3.305,0.552,0.758,0.92,1.115,1.19,1.237,1.404,1.434,1.626,1.73,0.11,0.076,0.046,0.033,0.008,0.004,0.007,0.001,0.003,0.002,0.291,3.336
150603,1506,15,KHM,Anlong Reab,Veal Veaeng,Pursat,Cambodia,32.374,1.917,2.224,3.019,3.912,4.377,4.454,5.166,5.167,5.664,6.001,0.542,0.968,1.183,1.523,1.702,1.829,2.192,2.337,2.795,3.279,0.108,0.097,0.059,0.046,0.011,0.006,0.011,0.002,0.006,0.003,0.35,1.08
80102,801,8,KHM,Anlong Romiet,Kandal Stueng,Kandal,Cambodia,78.583,23.86,40.948,48.019,59.791,65.255,65.593,66.707,67.794,69.294,70.197,2.608,5.141,10.165,15.921,18.27,19.911,23.583,24.702,28.057,31.291,0.522,0.514,0.508,0.478,0.122,0.066,0.118,0.025,0.056,0.031,2.44,3.105
20205,202,2,KHM,Anlong Run,Thma Koul,Battambang,Cambodia,26.23,0.023,0.098,1.989,5.564,7.503,8.077,10.343,11.346,12.8,13.184,0.001,0.004,0.094,0.298,0.42,0.493,0.708,0.79,1.008,1.189,0.0,0.0,0.005,0.009,0.003,0.002,0.004,0.001,0.002,0.001,0.026,0.1
170401,1704,17,KHM,Anlong Samnar,Chi Kraeng,Siemreap,Cambodia,47.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150301,1503,15,KHM,Anlong Tnaot,Krakor,Pursat,Cambodia,103.636,0.529,5.747,9.055,13.715,14.094,15.387,18.452,18.603,20.145,22.008,0.041,0.22,0.386,0.652,0.739,0.882,1.104,1.163,1.379,1.621,0.008,0.022,0.019,0.02,0.005,0.003,0.006,0.001,0.003,0.002,0.088,0.085
220101,2201,22,KHM,Anlong Veaeng,Anlong Veaeng,Oddar Meanchey,Cambodia,174.278,0.234,7.249,9.243,15.434,18.335,18.49,23.235,23.238,23.981,25.856,0.021,1.968,2.326,4.31,5.193,5.75,7.283,7.788,9.248,10.602,0.004,0.197,0.116,0.129,0.035,0.019,0.036,0.008,0.018,0.011,0.574,0.329
20801,208,2,KHM,Anlong Vil,Sangkae,Battambang,Cambodia,150.946,7.813,22.899,59.409,73.381,75.598,77.179,90.915,95.874,104.11,112.047,0.289,1.344,6.008,15.038,20.883,23.91,29.866,31.583,37.303,43.79,0.058,0.134,0.3,0.451,0.139,0.08,0.149,0.032,0.075,0.044,1.462,0.969
150201,1502,15,KHM,Anlong Vil,Kandieng,Pursat,Cambodia,37.042,0.0,0.0,1.807,3.779,4.063,4.533,5.515,5.542,7.709,9.929,0.0,0.0,0.264,0.48,0.554,0.612,0.793,0.849,1.132,1.592,0.0,0.0,0.013,0.014,0.004,0.002,0.004,0.001,0.002,0.002,0.042,0.113
150302,1503,15,KHM,Ansa Chambak,Krakor,Pursat,Cambodia,34.393,0.0,0.0,0.0,0.013,0.013,0.163,0.174,0.209,0.39,0.594,0.0,0.0,0.0,0.001,0.001,0.008,0.026,0.032,0.056,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
140301,1403,14,KHM,Ansaong,Kampong Trabaek,Prey Veng,Cambodia,33.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31501,315,3,KHM,Areaks Tnot,Stueng Trang,Kampong Cham,Cambodia,28.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
40303,403,4,KHM,B'er,Kampong Chhnang,Kampong Chhnang,Cambodia,118.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140701,1407,14,KHM,Ba Baong,Peam Ro,Prey Veng,Cambodia,50.458,0.0,0.0,0.0,1.136,3.286,4.031,5.235,7.505,10.244,13.794,0.0,0.0,0.0,0.229,0.57,0.886,1.535,1.815,2.765,4.289,0.0,0.0,0.0,0.007,0.004,0.003,0.008,0.002,0.006,0.004,0.033,0.065
210102,2101,21,KHM,Ba Srae,Angkor Borei,Takeo,Cambodia,59.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160505,1605,16,KHM,Ba Tang,Lumphat,Ratanak Kiri,Cambodia,9.271,0.332,0.337,0.412,0.431,0.431,0.486,0.629,0.632,0.669,0.991,0.098,0.122,0.146,0.173,0.183,0.192,0.215,0.221,0.239,0.336,0.02,0.012,0.007,0.005,0.001,0.001,0.001,0.0,0.0,0.0,0.048,0.521
80801,808,8,KHM,Baek Chan,Angk Snuol,Kandal,Cambodia,293.985,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.011,0.187,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220501,2205,22,KHM,Bak Anloung,Trapeang Prasat,Oddar Meanchey,Cambodia,18.631,0.087,0.122,0.264,0.306,0.329,0.329,0.329,0.329,0.329,0.329,0.003,0.009,0.029,0.055,0.062,0.065,0.072,0.074,0.079,0.084,0.001,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.032
150401,1504,15,KHM,Bak Chenhchien,Phnum Kravanh,Pursat,Cambodia,20.8,0.821,2.298,5.721,8.306,10.321,10.963,13.762,14.234,15.77,17.297,0.202,0.518,1.284,2.424,3.037,3.454,4.569,5.027,6.315,7.683,0.04,0.052,0.064,0.073,0.02,0.012,0.023,0.005,0.013,0.008,0.309,1.485
80301,803,8,KHM,Bak Dav,Khsach Kandal,Kandal,Cambodia,40.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.151,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.034,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121005,1210,12,KHM,Bak Kaeng,Chraoy Chongvar,Phnom Penh,Cambodia,129.844,0.0,0.0,1.516,10.617,17.075,26.864,52.124,56.959,69.147,76.356,0.0,0.0,0.334,2.522,4.444,7.069,15.633,17.85,23.331,28.864,0.0,0.0,0.017,0.076,0.03,0.024,0.078,0.018,0.047,0.029,0.317,0.244
60101,601,6,KHM,Bak Sna,Baray,Kampong Thom,Cambodia,34.135,0.012,0.023,0.128,0.492,0.669,0.86,1.917,2.572,3.579,5.783,0.001,0.01,0.043,0.106,0.176,0.235,0.482,0.604,1.017,1.592,0.0,0.001,0.002,0.003,0.001,0.001,0.002,0.001,0.002,0.002,0.015,0.044
170902,1709,17,KHM,Bakong,Prasat Bakong,Siemreap,Cambodia,71.182,7.352,11.084,12.678,15.368,15.912,16.515,17.096,17.239,18.266,19.529,0.596,1.178,1.534,1.939,2.084,2.186,2.4,2.464,2.677,2.894,0.119,0.118,0.077,0.058,0.014,0.007,0.012,0.002,0.005,0.003,0.416,0.584
60102,601,6,KHM,Ballangk,Baray,Kampong Thom,Cambodia,164.243,0.0,0.141,2.765,15.724,16.336,16.857,22.734,25.936,37.761,46.843,0.0,0.022,0.45,2.469,3.275,3.844,5.787,6.469,8.996,11.507,0.0,0.002,0.023,0.074,0.022,0.013,0.029,0.006,0.018,0.012,0.198,0.121
170903,1709,17,KHM,Ballangk,Prasat Bakong,Siemreap,Cambodia,47.415,0.59,0.798,0.93,1.313,1.546,1.637,1.86,2.062,2.64,2.878,0.043,0.067,0.086,0.117,0.133,0.154,0.21,0.232,0.303,0.367,0.009,0.007,0.004,0.003,0.001,0.001,0.001,0.0,0.001,0.0,0.027,0.056
